Marker,N,n_tips,divergences,max_rhat,min_bulk_ess,min_tail_ess
Permanent Scarring,241,72,0,1.003,6539,5447
Extra-Ritual In-Group Markers,221,64,0,1.003,4585,3569
Circumcision,213,59,0,1.005,4589,5161
Dress,214,61,0,1.003,6675,5506
Food Taboos,213,60,0,1.002,6324,5666
Hair,211,60,0,1.003,6743,6008
Ornaments,214,62,0,1.003,2681,3570
Tattoos/Scarification,214,61,0,1.003,2710,4926
