Marker,N,Intercept,violent_internal,year_scaled
Permanent Scarring,241,"-3.32 [-4.21, -2.47]","1.08 [0.06, 2.08]","-0.64 [-1.14, -0.12]"
Extra-Ritual In-Group Markers,224,"-0.76 [-1.15, -0.36]","0.08 [-0.54, 0.69]","-0.16 [-0.45, 0.14]"
Circumcision,214,"-2.44 [-3.53, -1.30]","0.21 [-0.68, 1.05]","-0.11 [-0.61, 0.43]"
Dress,216,"-1.17 [-1.64, -0.73]","-0.31 [-1.06, 0.42]","-0.01 [-0.35, 0.36]"
Food Taboos,214,"-1.60 [-2.09, -1.16]","0.48 [-0.25, 1.19]","-0.28 [-0.63, 0.09]"
Hair,213,"-1.56 [-2.09, -1.05]","-0.28 [-1.12, 0.51]","-0.27 [-0.63, 0.09]"
Ornaments,216,"-1.54 [-2.20, -0.83]","-0.18 [-1.06, 0.64]","-0.25 [-0.63, 0.14]"
Tattoos/Scarification,215,"-2.51 [-3.28, -1.71]","-0.23 [-1.34, 0.80]","-0.41 [-0.90, 0.10]"
