Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Circumcision,207,0.24,-0.75,1.22,0.69,0.03
Dress,208,-0.36,-1.14,0.38,0.17,-0.06
Extra-Ritual In-Group Markers,215,0.05,-0.62,0.72,0.55,0.01
Food Taboos,207,0.41,-0.38,1.16,0.85,0.07
Hair,205,-0.21,-1.12,0.65,0.32,-0.02
Ornaments,208,-0.19,-1.03,0.63,0.33,-0.02
Permanent Scarring,234,0.93,-0.15,2.04,0.95,0.06
Tattoos/Scarification,208,-0.24,-1.44,0.88,0.35,-0.01
