marker,model,parameter,rhat,ess_bulk,ess_tail
circumcision,fit_base,Intercept,1,4899.23,4628.35
circumcision,fit_base,violent_internal,1,5065.12,4144.9
circumcision,fit_phylo,Intercept,1,5667.82,5123.99
circumcision,fit_phylo,violent_internal,1,10539.93,5855.17
circumcision,fit_phylo_repeat,Intercept,1,6314.23,5380.52
circumcision,fit_phylo_repeat,violent_internal,1,13363.52,6351.89
circumcision,fit_phylo_year,Intercept,1,6180.45,5396.42
circumcision,fit_phylo_year,violent_internal,1,13213.83,5630.29
circumcision,fit_phylo_year,year_scaled,1,8995.26,6216.49
circumcision,fit_phylo_year,world_regionCentralEurasia,1,14979.22,5922.22
circumcision,fit_phylo_year,world_regionEastAsia,1,12316.15,5837.19
circumcision,fit_phylo_year,world_regionEurope,1,10817.36,6249.05
circumcision,fit_phylo_year,world_regionNorthAmerica,1,13784.51,5887.32
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,1,14224.21,6036.36
circumcision,fit_phylo_year,world_regionSouthAmerica,1,13778.65,5603.41
circumcision,fit_phylo_year,world_regionSouthAsia,1,8092.3,6338.08
circumcision,fit_phylo_year,world_regionSoutheastAsia,1,14562.85,6194.5
circumcision,fit_phylo_year,world_regionSouthwestAsia,1,12011.34,5388.25
dress,fit_base,Intercept,1,5444.84,4382.59
dress,fit_base,violent_internal,1,5801.15,3980.61
dress,fit_phylo,Intercept,1,10288.98,4982.27
dress,fit_phylo,violent_internal,1,18645.88,5570.69
dress,fit_phylo_repeat,Intercept,1,9026.16,5408.42
dress,fit_phylo_repeat,violent_internal,1,16375.95,6169.5
dress,fit_phylo_year,Intercept,1,5466.07,4260.11
dress,fit_phylo_year,violent_internal,1,10691.18,5670.12
dress,fit_phylo_year,year_scaled,1,8606.75,5202.59
dress,fit_phylo_year,world_regionCentralEurasia,1,10802.07,5972.63
dress,fit_phylo_year,world_regionEastAsia,1,8645.58,5350.85
dress,fit_phylo_year,world_regionEurope,1,9304.96,5815.74
