marker,model,parameter,median,lo95,hi95
circumcision,fit_base,Intercept,-2.01,-2.5,-1.5
circumcision,fit_base,violent_internal,-0.11,-1.05,0.81
circumcision,fit_phylo,Intercept,-2.29,-3.47,-1.34
circumcision,fit_phylo,violent_internal,0.08,-0.95,1.09
circumcision,fit_phylo_repeat,Intercept,-2.4,-3.6,-1.36
circumcision,fit_phylo_repeat,violent_internal,0.06,-1.04,1.1
circumcision,fit_phylo_year,Intercept,-2.09,-3.36,-0.99
circumcision,fit_phylo_year,violent_internal,0.08,-1,1.11
circumcision,fit_phylo_year,year_scaled,-0.03,-0.65,0.62
circumcision,fit_phylo_year,world_regionCentralEurasia,-0.25,-2.14,1.61
circumcision,fit_phylo_year,world_regionEastAsia,-0.72,-2.15,0.63
circumcision,fit_phylo_year,world_regionEurope,-0.77,-2.14,0.63
circumcision,fit_phylo_year,world_regionNorthAmerica,-0.65,-2.32,0.92
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,0.58,-1.25,2.39
circumcision,fit_phylo_year,world_regionSouthAmerica,-0.32,-2.14,1.43
circumcision,fit_phylo_year,world_regionSouthAsia,0.14,-1.44,1.7
circumcision,fit_phylo_year,world_regionSoutheastAsia,-0.56,-2.23,1.06
circumcision,fit_phylo_year,world_regionSouthwestAsia,-0.12,-1.67,1.26
dress,fit_base,Intercept,-1.25,-1.63,-0.87
dress,fit_base,violent_internal,-0.15,-0.91,0.64
dress,fit_phylo,Intercept,-1.28,-1.78,-0.79
dress,fit_phylo,violent_internal,-0.14,-0.92,0.65
dress,fit_phylo_repeat,Intercept,-1.32,-1.87,-0.82
dress,fit_phylo_repeat,violent_internal,-0.13,-0.89,0.69
dress,fit_phylo_year,Intercept,-1.42,-2.03,-0.73
dress,fit_phylo_year,violent_internal,-0.16,-0.93,0.66
dress,fit_phylo_year,year_scaled,0.12,-0.26,0.6
dress,fit_phylo_year,world_regionCentralEurasia,-0.58,-2.19,1.05
dress,fit_phylo_year,world_regionEastAsia,0.37,-0.6,1.36
dress,fit_phylo_year,world_regionEurope,0.07,-0.88,1.05
dress,fit_phylo_year,world_regionNorthAmerica,-0.73,-2.05,0.57
dress,fit_phylo_year,world_regionOceaniaMAustralia,-0.15,-1.99,1.66
dress,fit_phylo_year,world_regionSouthAmerica,1.02,-0.36,2.5
dress,fit_phylo_year,world_regionSouthAsia,0.52,-0.49,1.52
dress,fit_phylo_year,world_regionSoutheastAsia,-0.41,-1.9,0.95
dress,fit_phylo_year,world_regionSouthwestAsia,-0.45,-1.91,0.92
extra_ritual_group_markers,fit_base,Intercept,-0.79,-1.15,-0.45
extra_ritual_group_markers,fit_base,violent_internal,0.06,-0.59,0.71
extra_ritual_group_markers,fit_phylo,Intercept,-0.78,-1.19,-0.31
extra_ritual_group_markers,fit_phylo,violent_internal,0.08,-0.6,0.74
extra_ritual_group_markers,fit_phylo_repeat,Intercept,-0.81,-1.27,-0.33
extra_ritual_group_markers,fit_phylo_repeat,violent_internal,0.06,-0.65,0.75
extra_ritual_group_markers,fit_phylo_year,Intercept,-0.87,-1.46,-0.28
extra_ritual_group_markers,fit_phylo_year,violent_internal,0.08,-0.6,0.79
extra_ritual_group_markers,fit_phylo_year,year_scaled,-0.07,-0.44,0.29
extra_ritual_group_markers,fit_phylo_year,world_regionCentralEurasia,-0.73,-2.37,0.84
extra_ritual_group_markers,fit_phylo_year,world_regionEastAsia,0.28,-0.59,1.27
extra_ritual_group_markers,fit_phylo_year,world_regionEurope,0.26,-0.66,1.1
extra_ritual_group_markers,fit_phylo_year,world_regionNorthAmerica,-0.63,-1.86,0.55
extra_ritual_group_markers,fit_phylo_year,world_regionOceaniaMAustralia,0.47,-1.33,2.3
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAmerica,0.89,-0.48,2.28
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAsia,0.4,-0.55,1.29
