Marker,N,sd_world_region
Permanent Scarring,241,"0.42 [0.01, 1.30]"
Extra-Ritual In-Group Markers,224,"0.22 [0.01, 0.71]"
Circumcision,214,"1.33 [0.41, 3.03]"
Dress,216,"0.29 [0.01, 0.93]"
Food Taboos,214,"0.23 [0.01, 0.75]"
Hair,213,"0.35 [0.01, 1.06]"
Ornaments,216,"0.65 [0.04, 1.60]"
Tattoos/Scarification,215,"0.62 [0.02, 1.93]"
