Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Permanent Scarring,241,1.08,0.06,2.08,0.98,0.07
Extra-Ritual In-Group Markers,224,0.08,-0.54,0.69,0.59,0.02
Circumcision,214,0.21,-0.68,1.05,0.7,0.02
Dress,216,-0.31,-1.06,0.42,0.2,-0.05
Food Taboos,214,0.48,-0.25,1.19,0.9,0.08
Hair,213,-0.28,-1.12,0.51,0.26,-0.03
Ornaments,216,-0.18,-1.06,0.64,0.34,-0.02
Tattoos/Scarification,215,-0.23,-1.34,0.8,0.34,-0.01
