Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Circumcision,214,0.22,-0.64,1.05,0.7,0.02
Dress,216,-0.3,-1.03,0.4,0.21,-0.05
Extra-Ritual In-Group Markers,224,0.08,-0.55,0.69,0.61,0.02
Food Taboos,214,0.47,-0.24,1.18,0.91,0.08
Hair,213,-0.28,-1.13,0.5,0.24,-0.03
Ornaments,216,-0.17,-1.01,0.62,0.34,-0.02
Permanent Scarring,241,1.09,0.05,2.11,0.98,0.07
Tattoos/Scarification,215,-0.24,-1.36,0.79,0.33,-0.01
