Marker,N,divergences,max_rhat,min_bulk_ess,min_tail_ess
Permanent Scarring,241,0,1.001,6425,4681
Extra-Ritual In-Group Markers,224,0,1.002,7144,5373
Circumcision,214,0,1.004,3300,2848
Dress,216,0,1.002,5989,4508
Food Taboos,214,0,1.002,6784,5160
Hair,213,0,1.002,5949,4538
Ornaments,216,0,1.002,3714,3468
Tattoos/Scarification,215,0,1.002,4767,3684
