marker,model,or_median,or_lo95,or_hi95,ame_median,ame_lo95,ame_hi95
circumcision,fit_base,1.43,0.51,2.9,0.04,-0.04,0.14
circumcision,fit_phylo,1.66,0.48,3.83,0.04,-0.04,0.14
circumcision,fit_phylo_repeat,1.62,0.47,3.83,0.04,-0.04,0.13
circumcision,fit_phylo_year,1.61,0.44,3.75,0.04,-0.04,0.13
dress,fit_base,0.73,0.31,1.38,-0.05,-0.16,0.07
dress,fit_phylo,0.75,0.31,1.41,-0.05,-0.15,0.07
dress,fit_phylo_repeat,0.75,0.28,1.5,-0.04,-0.15,0.08
dress,fit_phylo_year,0.75,0.28,1.46,-0.04,-0.15,0.08
extra_ritual_group_markers,fit_base,1.08,0.51,1.84,0.02,-0.11,0.15
extra_ritual_group_markers,fit_phylo,1.08,0.52,1.96,0.02,-0.11,0.16
extra_ritual_group_markers,fit_phylo_repeat,1.05,0.48,1.94,0.01,-0.11,0.14
extra_ritual_group_markers,fit_phylo_year,1.13,0.48,2.02,0.02,-0.1,0.16
food_taboos,fit_base,1.55,0.65,2.81,0.07,-0.04,0.19
food_taboos,fit_phylo,1.55,0.66,2.92,0.07,-0.04,0.19
food_taboos,fit_phylo_repeat,1.59,0.62,2.94,0.07,-0.04,0.2
food_taboos,fit_phylo_year,1.61,0.62,3.03,0.07,-0.04,0.19
hair,fit_base,0.72,0.25,1.4,-0.04,-0.13,0.06
hair,fit_phylo,0.76,0.27,1.54,-0.03,-0.13,0.07
hair,fit_phylo_repeat,0.78,0.23,1.66,-0.03,-0.13,0.09
hair,fit_phylo_year,0.81,0.25,1.68,-0.02,-0.12,0.09
ornaments,fit_base,0.78,0.28,1.58,-0.03,-0.12,0.08
ornaments,fit_phylo,0.81,0.26,1.63,-0.03,-0.12,0.09
ornaments,fit_phylo_repeat,0.81,0.27,1.66,-0.03,-0.11,0.08
ornaments,fit_phylo_year,0.78,0.23,1.6,-0.03,-0.11,0.08
permanent_scarring,fit_base,2.55,0.62,6.13,0.05,-0,0.12
permanent_scarring,fit_phylo,2.68,0.56,6.56,0.05,-0,0.13
permanent_scarring,fit_phylo_repeat,2.7,0.61,6.89,0.05,-0,0.13
permanent_scarring,fit_phylo_year,2.88,0.56,7.31,0.05,-0,0.12
tattoos_scarification,fit_base,0.6,0.1,1.42,-0.03,-0.08,0.04
tattoos_scarification,fit_phylo,0.61,0.12,1.47,-0.03,-0.08,0.04
tattoos_scarification,fit_phylo_repeat,0.61,0.12,1.54,-0.03,-0.08,0.04
tattoos_scarification,fit_phylo_year,0.63,0.11,1.64,-0.02,-0.08,0.04
