marker,model,lambda,lo95,hi95
circumcision,fit_phylo,0.4,0.13,0.71
circumcision,fit_phylo_repeat,0.33,0.03,0.66
dress,fit_phylo,0.08,0,0.33
dress,fit_phylo_repeat,0.05,0,0.28
extra_ritual_group_markers,fit_phylo,0.07,0,0.29
extra_ritual_group_markers,fit_phylo_repeat,0.04,0,0.21
food_taboos,fit_phylo,0.05,0,0.23
food_taboos,fit_phylo_repeat,0.04,0,0.22
hair,fit_phylo,0.09,0,0.36
hair,fit_phylo_repeat,0.06,0,0.3
ornaments,fit_phylo,0.07,0,0.29
ornaments,fit_phylo_repeat,0.06,0,0.26
permanent_scarring,fit_phylo,0.09,0,0.39
permanent_scarring,fit_phylo_repeat,0.08,0,0.38
tattoos_scarification,fit_phylo,0.06,0,0.3
tattoos_scarification,fit_phylo_repeat,0.06,0,0.29
