marker,model,parameter,median,lo95,hi95
circumcision,fit_base,Intercept,-2.06,-2.6,-1.57
circumcision,fit_base,violent_internal,-0.07,-1.03,0.87
circumcision,fit_phylo,Intercept,-2.36,-3.55,-1.43
circumcision,fit_phylo,violent_internal,0.12,-0.99,1.14
circumcision,fit_phylo_repeat,Intercept,-2.49,-3.7,-1.51
circumcision,fit_phylo_repeat,violent_internal,0.09,-1,1.15
circumcision,fit_phylo_year,Intercept,-2.19,-3.46,-1.07
circumcision,fit_phylo_year,violent_internal,0.12,-0.93,1.18
circumcision,fit_phylo_year,year_scaled,-0.05,-0.67,0.6
circumcision,fit_phylo_year,world_regionCentralEurasia,-0.27,-2.1,1.54
circumcision,fit_phylo_year,world_regionEastAsia,-0.67,-2.14,0.67
circumcision,fit_phylo_year,world_regionEurope,-0.73,-2.18,0.62
circumcision,fit_phylo_year,world_regionNorthAmerica,-0.63,-2.31,1.01
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,0.59,-1.15,2.49
circumcision,fit_phylo_year,world_regionSouthAmerica,-0.28,-2.01,1.56
circumcision,fit_phylo_year,world_regionSouthAsia,0.17,-1.4,1.77
circumcision,fit_phylo_year,world_regionSoutheastAsia,-0.55,-2.22,1.15
circumcision,fit_phylo_year,world_regionSouthwestAsia,-0.08,-1.52,1.35
dress,fit_base,Intercept,-1.24,-1.67,-0.88
dress,fit_base,violent_internal,-0.16,-0.95,0.58
dress,fit_phylo,Intercept,-1.27,-1.78,-0.78
dress,fit_phylo,violent_internal,-0.15,-0.95,0.59
dress,fit_phylo_repeat,Intercept,-1.31,-1.88,-0.82
dress,fit_phylo_repeat,violent_internal,-0.14,-0.93,0.67
dress,fit_phylo_year,Intercept,-1.4,-2.11,-0.79
dress,fit_phylo_year,violent_internal,-0.16,-1.02,0.63
dress,fit_phylo_year,year_scaled,0.13,-0.27,0.58
dress,fit_phylo_year,world_regionCentralEurasia,-0.59,-2.22,1.09
dress,fit_phylo_year,world_regionEastAsia,0.36,-0.61,1.35
dress,fit_phylo_year,world_regionEurope,0.07,-0.89,1.06
dress,fit_phylo_year,world_regionNorthAmerica,-0.73,-2.11,0.54
dress,fit_phylo_year,world_regionOceaniaMAustralia,-0.16,-2.04,1.72
dress,fit_phylo_year,world_regionSouthAmerica,1.01,-0.38,2.49
dress,fit_phylo_year,world_regionSouthAsia,0.52,-0.49,1.47
dress,fit_phylo_year,world_regionSoutheastAsia,-0.31,-1.83,1.03
dress,fit_phylo_year,world_regionSouthwestAsia,-0.46,-1.88,0.98
extra_ritual_group_markers,fit_base,Intercept,-0.86,-1.21,-0.51
extra_ritual_group_markers,fit_base,violent_internal,0.07,-0.59,0.74
extra_ritual_group_markers,fit_phylo,Intercept,-0.86,-1.34,-0.44
extra_ritual_group_markers,fit_phylo,violent_internal,0.07,-0.61,0.76
extra_ritual_group_markers,fit_phylo_repeat,Intercept,-0.9,-1.37,-0.44
extra_ritual_group_markers,fit_phylo_repeat,violent_internal,0.07,-0.65,0.77
extra_ritual_group_markers,fit_phylo_year,Intercept,-0.95,-1.54,-0.35
extra_ritual_group_markers,fit_phylo_year,violent_internal,0.1,-0.61,0.78
extra_ritual_group_markers,fit_phylo_year,year_scaled,-0.12,-0.49,0.25
extra_ritual_group_markers,fit_phylo_year,world_regionCentralEurasia,-0.69,-2.27,0.88
extra_ritual_group_markers,fit_phylo_year,world_regionEastAsia,0.23,-0.63,1.15
extra_ritual_group_markers,fit_phylo_year,world_regionEurope,0.32,-0.61,1.16
extra_ritual_group_markers,fit_phylo_year,world_regionNorthAmerica,-0.58,-1.87,0.6
extra_ritual_group_markers,fit_phylo_year,world_regionOceaniaMAustralia,0.48,-1.41,2.28
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAmerica,0.92,-0.43,2.22
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAsia,0.35,-0.58,1.3
extra_ritual_group_markers,fit_phylo_year,world_regionSoutheastAsia,-0.54,-1.95,0.81
extra_ritual_group_markers,fit_phylo_year,world_regionSouthwestAsia,-0.54,-1.81,0.77
food_taboos,fit_base,Intercept,-1.57,-2.01,-1.16
food_taboos,fit_base,violent_internal,0.43,-0.3,1.18
food_taboos,fit_phylo,Intercept,-1.6,-2.11,-1.11
food_taboos,fit_phylo,violent_internal,0.46,-0.28,1.25
food_taboos,fit_phylo_repeat,Intercept,-1.62,-2.17,-1.1
food_taboos,fit_phylo_repeat,violent_internal,0.46,-0.3,1.23
food_taboos,fit_phylo_year,Intercept,-1.72,-2.42,-1.04
food_taboos,fit_phylo_year,violent_internal,0.48,-0.3,1.23
food_taboos,fit_phylo_year,year_scaled,-0.18,-0.6,0.27
food_taboos,fit_phylo_year,world_regionCentralEurasia,-0.45,-2.14,1.25
food_taboos,fit_phylo_year,world_regionEastAsia,0.36,-0.62,1.42
food_taboos,fit_phylo_year,world_regionEurope,0.09,-0.93,1.06
food_taboos,fit_phylo_year,world_regionNorthAmerica,-0.57,-1.96,0.7
food_taboos,fit_phylo_year,world_regionOceaniaMAustralia,0.57,-1.28,2.38
food_taboos,fit_phylo_year,world_regionSouthAmerica,0.15,-1.41,1.74
food_taboos,fit_phylo_year,world_regionSouthAsia,0.42,-0.65,1.36
