marker,model,parameter,rhat,ess_bulk,ess_tail
hair,fit_phylo_year,violent_internal,1,14649.91,5573.5
hair,fit_phylo_year,year_scaled,1,11641.78,6224.39
hair,fit_phylo_year,world_regionCentralEurasia,1,15096.5,6086.22
hair,fit_phylo_year,world_regionEastAsia,1,11941.41,6377.52
hair,fit_phylo_year,world_regionEurope,1,13339.52,6664
hair,fit_phylo_year,world_regionNorthAmerica,1,13882.12,6143.28
hair,fit_phylo_year,world_regionOceaniaMAustralia,1,15839.84,5617.69
hair,fit_phylo_year,world_regionSouthAmerica,1,14702.78,5783.21
hair,fit_phylo_year,world_regionSouthAsia,1,11143.57,6138.76
hair,fit_phylo_year,world_regionSoutheastAsia,1,16335.6,5532.09
hair,fit_phylo_year,world_regionSouthwestAsia,1,14623.49,6254.2
ornaments,fit_base,Intercept,1,5028.27,4509.19
ornaments,fit_base,violent_internal,1,4894.25,3956.96
ornaments,fit_phylo,Intercept,1,6268.09,3456.52
ornaments,fit_phylo,violent_internal,1,17539.61,5346.83
ornaments,fit_phylo_repeat,Intercept,1,10513.25,5930.77
ornaments,fit_phylo_repeat,violent_internal,1,18549.2,5889.58
ornaments,fit_phylo_year,Intercept,1,7564.41,4736.1
ornaments,fit_phylo_year,violent_internal,1,15074.18,5998.89
ornaments,fit_phylo_year,year_scaled,1,11120.03,5287.7
ornaments,fit_phylo_year,world_regionCentralEurasia,1,14192.65,6214.4
ornaments,fit_phylo_year,world_regionEastAsia,1,12899.48,6467.42
ornaments,fit_phylo_year,world_regionEurope,1,11695.98,6117.71
ornaments,fit_phylo_year,world_regionNorthAmerica,1,12419.06,5816.15
ornaments,fit_phylo_year,world_regionOceaniaMAustralia,1,14236.26,6018.77
ornaments,fit_phylo_year,world_regionSouthAmerica,1,12614.1,5768.62
ornaments,fit_phylo_year,world_regionSouthAsia,1,8677.46,5842.25
ornaments,fit_phylo_year,world_regionSoutheastAsia,1,14378.23,5192.48
ornaments,fit_phylo_year,world_regionSouthwestAsia,1,12017.22,5983.32
permanent_scarring,fit_base,Intercept,1,3830.38,3500.89
permanent_scarring,fit_base,violent_internal,1,4425.77,4356.97
permanent_scarring,fit_phylo,Intercept,1,10132.8,5899.49
permanent_scarring,fit_phylo,violent_internal,1,13788.34,6369.38
permanent_scarring,fit_phylo_repeat,Intercept,1,11639.84,6015.22
permanent_scarring,fit_phylo_repeat,violent_internal,1,13902.01,6058.26
permanent_scarring,fit_phylo_year,Intercept,1,8453.7,5371.6
permanent_scarring,fit_phylo_year,violent_internal,1,10043.99,6056.64
permanent_scarring,fit_phylo_year,year_scaled,1,9289.91,5519.01
permanent_scarring,fit_phylo_year,world_regionCentralEurasia,1,14005.16,6178.37
permanent_scarring,fit_phylo_year,world_regionEastAsia,1,9789.23,5762.37
permanent_scarring,fit_phylo_year,world_regionEurope,1,11842.57,5646.99
permanent_scarring,fit_phylo_year,world_regionNorthAmerica,1,11539.82,6743.45
permanent_scarring,fit_phylo_year,world_regionOceaniaMAustralia,1,13738.71,5564.2
permanent_scarring,fit_phylo_year,world_regionSouthAmerica,1,13014.5,5222.15
permanent_scarring,fit_phylo_year,world_regionSouthAsia,1,10844.2,6065.97
permanent_scarring,fit_phylo_year,world_regionSoutheastAsia,1,10927.5,5970.06
permanent_scarring,fit_phylo_year,world_regionSouthwestAsia,1,12843.59,6761.34
tattoos_scarification,fit_base,Intercept,1,4870.23,3848.1
tattoos_scarification,fit_base,violent_internal,1,4719.86,4414.59
tattoos_scarification,fit_phylo,Intercept,1,7954.45,5026.19
tattoos_scarification,fit_phylo,violent_internal,1,9523.71,4907.36
tattoos_scarification,fit_phylo_repeat,Intercept,1,9806.59,5812.99
