marker,model,parameter,rhat,ess_bulk,ess_tail
circumcision,fit_base,Intercept,1,3762.18,3692.8
circumcision,fit_base,violent_external,1,4196.18,4129.69
circumcision,fit_phylo,Intercept,1,9349.58,6312.75
circumcision,fit_phylo,violent_external,1,15252.27,6513.52
circumcision,fit_phylo_repeat,Intercept,1,3742.83,4729.27
circumcision,fit_phylo_repeat,violent_external,1,8297.35,6014.98
circumcision,fit_phylo_year,Intercept,1,6767.5,5599.65
circumcision,fit_phylo_year,violent_external,1,11547.76,6405.67
circumcision,fit_phylo_year,year_scaled,1,9925.19,6060.05
circumcision,fit_phylo_year,world_regionCentralEurasia,1,12524.73,6534.06
circumcision,fit_phylo_year,world_regionEastAsia,1,14598.11,6530.61
circumcision,fit_phylo_year,world_regionEurope,1,11016.24,6481.39
circumcision,fit_phylo_year,world_regionNorthAmerica,1,11926.81,5984.05
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,1,13653.17,5702.81
circumcision,fit_phylo_year,world_regionSouthAmerica,1,15861.2,6385.75
circumcision,fit_phylo_year,world_regionSouthAsia,1,8935.6,6782.04
circumcision,fit_phylo_year,world_regionSoutheastAsia,1,10376.86,6028.64
circumcision,fit_phylo_year,world_regionSouthwestAsia,1,9928.91,6936.44
dress,fit_base,Intercept,1,5224.11,4312.5
dress,fit_base,violent_external,1,5472.02,4526
dress,fit_phylo,Intercept,1,9548.55,5559.11
dress,fit_phylo,violent_external,1,16009.01,6148.38
dress,fit_phylo_repeat,Intercept,1,7258.68,5357.02
dress,fit_phylo_repeat,violent_external,1,10826.21,6173.77
dress,fit_phylo_year,Intercept,1,6829.8,5315
dress,fit_phylo_year,violent_external,1,12773.62,5902.06
dress,fit_phylo_year,year_scaled,1,10849.15,6601.68
dress,fit_phylo_year,world_regionCentralEurasia,1,13076.99,5746.6
dress,fit_phylo_year,world_regionEastAsia,1,10658.24,6462.17
dress,fit_phylo_year,world_regionEurope,1,9528.25,6394.46
dress,fit_phylo_year,world_regionNorthAmerica,1,12623.96,5962.99
dress,fit_phylo_year,world_regionOceaniaMAustralia,1,15627.22,5841.58
dress,fit_phylo_year,world_regionSouthAmerica,1,11710.67,5903.26
dress,fit_phylo_year,world_regionSouthAsia,1,9996.43,5905.12
dress,fit_phylo_year,world_regionSoutheastAsia,1,11646.97,6692.38
dress,fit_phylo_year,world_regionSouthwestAsia,1,9714.05,6198.85
extra_ritual_group_markers,fit_base,Intercept,1,5162.68,4476.37
extra_ritual_group_markers,fit_base,violent_external,1,5489.09,4750.46
extra_ritual_group_markers,fit_phylo,Intercept,1,7974.04,5514.31
extra_ritual_group_markers,fit_phylo,violent_external,1,17732.56,5630.24
extra_ritual_group_markers,fit_phylo_repeat,Intercept,1,5733.28,4214.21
extra_ritual_group_markers,fit_phylo_repeat,violent_external,1,12329.83,6178.65
extra_ritual_group_markers,fit_phylo_year,Intercept,1,6197.95,4811.89
extra_ritual_group_markers,fit_phylo_year,violent_external,1,12891.1,5950.17
extra_ritual_group_markers,fit_phylo_year,year_scaled,1,10270.93,6352.37
extra_ritual_group_markers,fit_phylo_year,world_regionCentralEurasia,1,12947.49,6144.33
extra_ritual_group_markers,fit_phylo_year,world_regionEastAsia,1,10112.66,6127.17
extra_ritual_group_markers,fit_phylo_year,world_regionEurope,1,9482.7,6212.88
extra_ritual_group_markers,fit_phylo_year,world_regionNorthAmerica,1,10048.03,6129.7
extra_ritual_group_markers,fit_phylo_year,world_regionOceaniaMAustralia,1,12671.55,6292.2
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAmerica,1,12474.4,5931.94
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAsia,1,9662.29,6206.73
extra_ritual_group_markers,fit_phylo_year,world_regionSoutheastAsia,1,10545.74,6217.93
extra_ritual_group_markers,fit_phylo_year,world_regionSouthwestAsia,1,10538.41,6707.44
food_taboos,fit_base,Intercept,1,4954.41,4231.36
food_taboos,fit_base,violent_external,1,5132.23,4399.08
food_taboos,fit_phylo,Intercept,1,7701.78,5420.36
food_taboos,fit_phylo,violent_external,1,14872.82,5973.73
food_taboos,fit_phylo_repeat,Intercept,1,5173.91,4619.34
food_taboos,fit_phylo_repeat,violent_external,1,10955.35,5660
food_taboos,fit_phylo_year,Intercept,1,8661.46,6311.87
food_taboos,fit_phylo_year,violent_external,1,14535.73,6511.33
food_taboos,fit_phylo_year,year_scaled,1,11492.24,6608.67
food_taboos,fit_phylo_year,world_regionCentralEurasia,1,13922.14,5667.86
food_taboos,fit_phylo_year,world_regionEastAsia,1,12040.55,6443.21
food_taboos,fit_phylo_year,world_regionEurope,1,11220.81,6240.48
food_taboos,fit_phylo_year,world_regionNorthAmerica,1,14310.22,5985.71
food_taboos,fit_phylo_year,world_regionOceaniaMAustralia,1,14997.77,5451.87
food_taboos,fit_phylo_year,world_regionSouthAmerica,1,15860.27,5449.27
food_taboos,fit_phylo_year,world_regionSouthAsia,1,10843.4,5988.32
food_taboos,fit_phylo_year,world_regionSoutheastAsia,1,10306.3,5355.27
food_taboos,fit_phylo_year,world_regionSouthwestAsia,1,11190.11,6909.1
hair,fit_base,Intercept,1,4251.97,3937.12
hair,fit_base,violent_external,1,4585.42,4431.68
hair,fit_phylo,Intercept,1,6522.21,4752.49
hair,fit_phylo,violent_external,1,12065.73,6372.67
hair,fit_phylo_repeat,Intercept,1,6325.93,5622.47
hair,fit_phylo_repeat,violent_external,1,10930.36,6239.95
hair,fit_phylo_year,Intercept,1,9357.09,5585.39
hair,fit_phylo_year,violent_external,1,14410.52,6286.3
hair,fit_phylo_year,year_scaled,1,11717.72,6473.07
hair,fit_phylo_year,world_regionCentralEurasia,1,15511.18,5766.88
hair,fit_phylo_year,world_regionEastAsia,1,13591.95,6260.21
hair,fit_phylo_year,world_regionEurope,1,12494.12,6717.95
hair,fit_phylo_year,world_regionNorthAmerica,1,13180.96,5509.7
hair,fit_phylo_year,world_regionOceaniaMAustralia,1,18362.18,5546.61
hair,fit_phylo_year,world_regionSouthAmerica,1,15783.59,6035.73
hair,fit_phylo_year,world_regionSouthAsia,1,10845.51,6430.9
hair,fit_phylo_year,world_regionSoutheastAsia,1,13895.02,5976.03
hair,fit_phylo_year,world_regionSouthwestAsia,1,13033.06,6336.14
ornaments,fit_base,Intercept,1,4757.68,4562.15
ornaments,fit_base,violent_external,1,4969.49,4834.46
ornaments,fit_phylo,Intercept,1,7331.39,5281.98
ornaments,fit_phylo,violent_external,1,11176.11,5874.65
ornaments,fit_phylo_repeat,Intercept,1,9855.63,5815.96
ornaments,fit_phylo_repeat,violent_external,1,15334.76,5954.31
ornaments,fit_phylo_year,Intercept,1,7264.7,5904.03
ornaments,fit_phylo_year,violent_external,1,13071.06,5932
ornaments,fit_phylo_year,year_scaled,1,9306.11,5855.93
ornaments,fit_phylo_year,world_regionCentralEurasia,1,12217.35,5159.43
ornaments,fit_phylo_year,world_regionEastAsia,1,10160.66,6511.68
ornaments,fit_phylo_year,world_regionEurope,1,9498.99,5683.45
ornaments,fit_phylo_year,world_regionNorthAmerica,1,11231.6,6264.18
ornaments,fit_phylo_year,world_regionOceaniaMAustralia,1,10658.9,5860.23
ornaments,fit_phylo_year,world_regionSouthAmerica,1,13650.08,5490.81
ornaments,fit_phylo_year,world_regionSouthAsia,1,8772.65,6580.76
ornaments,fit_phylo_year,world_regionSoutheastAsia,1,9375.7,5829.28
ornaments,fit_phylo_year,world_regionSouthwestAsia,1,8450.83,6364.18
permanent_scarring,fit_base,Intercept,1,3516.68,3614.85
permanent_scarring,fit_base,violent_external,1,3779.42,4061.62
permanent_scarring,fit_phylo,Intercept,1,6040.87,3947.6
permanent_scarring,fit_phylo,violent_external,1,10915.66,6405.93
permanent_scarring,fit_phylo_repeat,Intercept,1,7466.82,4831.75
permanent_scarring,fit_phylo_repeat,violent_external,1,12420.59,6265.35
permanent_scarring,fit_phylo_year,Intercept,1,6577.57,5260.63
permanent_scarring,fit_phylo_year,violent_external,1,10827.72,5668.93
permanent_scarring,fit_phylo_year,year_scaled,1,9432.39,6169.88
permanent_scarring,fit_phylo_year,world_regionCentralEurasia,1,15753.04,5909.95
permanent_scarring,fit_phylo_year,world_regionEastAsia,1,12341.45,5825.82
permanent_scarring,fit_phylo_year,world_regionEurope,1,9338.8,6210.74
permanent_scarring,fit_phylo_year,world_regionNorthAmerica,1,10618.99,6385.38
permanent_scarring,fit_phylo_year,world_regionOceaniaMAustralia,1,13481.24,6196.01
permanent_scarring,fit_phylo_year,world_regionSouthAmerica,1,12563.75,6261
permanent_scarring,fit_phylo_year,world_regionSouthAsia,1,10294.84,5590.9
permanent_scarring,fit_phylo_year,world_regionSoutheastAsia,1,10015.96,6233.63
permanent_scarring,fit_phylo_year,world_regionSouthwestAsia,1,9650.48,6853.96
tattoos_scarification,fit_base,Intercept,1,3744.9,3757.15
tattoos_scarification,fit_base,violent_external,1,4201.07,4230.61
tattoos_scarification,fit_phylo,Intercept,1,6709.43,4793
tattoos_scarification,fit_phylo,violent_external,1,13617.25,6177.24
tattoos_scarification,fit_phylo_repeat,Intercept,1,5834.62,4446.69
tattoos_scarification,fit_phylo_repeat,violent_external,1,12189.3,5700.22
tattoos_scarification,fit_phylo_year,Intercept,1,8696.4,5674.42
tattoos_scarification,fit_phylo_year,violent_external,1,12031.56,6710.12
tattoos_scarification,fit_phylo_year,year_scaled,1,11545.56,6156.53
tattoos_scarification,fit_phylo_year,world_regionCentralEurasia,1,14042.93,5321.16
tattoos_scarification,fit_phylo_year,world_regionEastAsia,1,12418.95,5418.32
tattoos_scarification,fit_phylo_year,world_regionEurope,1,11751.13,5804.12
tattoos_scarification,fit_phylo_year,world_regionNorthAmerica,1,12934.68,6120.49
tattoos_scarification,fit_phylo_year,world_regionOceaniaMAustralia,1,12976.43,5947.34
tattoos_scarification,fit_phylo_year,world_regionSouthAmerica,1,14282.02,5882.86
tattoos_scarification,fit_phylo_year,world_regionSouthAsia,1,12021.88,6139.91
tattoos_scarification,fit_phylo_year,world_regionSoutheastAsia,1,11103.97,6037.41
tattoos_scarification,fit_phylo_year,world_regionSouthwestAsia,1,11805.82,6686.36
