marker,model,or_median,or_lo95,or_hi95,ame_median,ame_lo95,ame_hi95
circumcision,fit_base,2.92,1.5,5.08,0.16,0.07,0.25
circumcision,fit_phylo,2.62,1.05,5,0.11,0.03,0.2
circumcision,fit_phylo_repeat,2.75,1.11,5.13,0.11,0.03,0.2
circumcision,fit_phylo_year,2.34,0.92,4.54,0.09,0.01,0.17
dress,fit_base,2.27,1.22,3.59,0.16,0.06,0.27
dress,fit_phylo,2.27,1.18,3.67,0.15,0.05,0.26
dress,fit_phylo_repeat,2.26,1.16,3.69,0.15,0.05,0.26
dress,fit_phylo_year,2.74,1.39,4.57,0.18,0.08,0.29
extra_ritual_group_markers,fit_base,2.85,1.7,4.3,0.25,0.14,0.35
extra_ritual_group_markers,fit_phylo,2.88,1.73,4.65,0.24,0.13,0.34
extra_ritual_group_markers,fit_phylo_repeat,2.93,1.7,4.63,0.24,0.13,0.34
extra_ritual_group_markers,fit_phylo_year,3.16,1.78,5.09,0.25,0.14,0.36
food_taboos,fit_base,2.67,1.54,4.24,0.2,0.1,0.3
food_taboos,fit_phylo,2.68,1.4,4.51,0.18,0.07,0.29
food_taboos,fit_phylo_repeat,2.69,1.4,4.5,0.18,0.08,0.29
food_taboos,fit_phylo_year,3.1,1.54,5.28,0.2,0.09,0.31
hair,fit_base,2.12,1.17,3.54,0.12,0.03,0.21
hair,fit_phylo,2.32,1.14,4.05,0.13,0.04,0.22
hair,fit_phylo_repeat,2.28,1.11,4.02,0.12,0.03,0.21
hair,fit_phylo_year,3.16,1.45,5.85,0.17,0.07,0.26
ornaments,fit_base,1.87,0.98,3.06,0.1,0.01,0.2
ornaments,fit_phylo,2.02,0.96,3.47,0.1,0.01,0.2
ornaments,fit_phylo_repeat,2.01,0.91,3.5,0.1,0.01,0.2
ornaments,fit_phylo_year,2.34,1.12,4.28,0.12,0.03,0.22
permanent_scarring,fit_base,2.64,1.22,5.01,0.08,0.03,0.15
permanent_scarring,fit_phylo,2.57,1.06,4.77,0.08,0.02,0.14
permanent_scarring,fit_phylo_repeat,2.6,1.1,4.98,0.08,0.02,0.14
permanent_scarring,fit_phylo_year,2.51,0.98,4.89,0.07,0.02,0.14
tattoos_scarification,fit_base,2.32,0.97,4.4,0.08,0.01,0.15
tattoos_scarification,fit_phylo,2.31,0.91,4.62,0.07,0.01,0.15
tattoos_scarification,fit_phylo_repeat,2.39,0.9,4.69,0.07,0.01,0.15
tattoos_scarification,fit_phylo_year,2.64,0.95,5.36,0.08,0.01,0.16
