model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,marker
fit_phylo_year,0,0,-115.69,10.4,32.39,3.61,231.39,20.8,circumcision
fit_phylo,-3.85,3.05,-119.55,10.18,28.23,2.97,239.09,20.36,circumcision
fit_phylo_repeat,-4.26,3.31,-119.95,10.22,31.63,3.21,239.91,20.44,circumcision
fit_base,-17.93,6.05,-133.62,10.01,1.91,0.19,267.24,20.02,circumcision
fit_phylo,0,0,-163.63,8.11,11.42,0.74,327.27,16.22,dress
fit_phylo_repeat,-0.43,0.4,-164.06,8.17,14.07,0.91,328.13,16.34,dress
fit_base,-0.75,1.68,-164.38,7.96,2,0.13,328.76,15.93,dress
fit_phylo_year,-2.15,2.21,-165.79,8.59,17.16,1.27,331.57,17.19,dress
fit_phylo_repeat,0,0,-201.94,5.77,19.47,0.74,403.87,11.55,extra_ritual_group_markers
fit_phylo,-0.04,0.71,-201.98,5.65,15.42,0.61,403.95,11.3,extra_ritual_group_markers
fit_base,-2,2.59,-203.93,5.26,1.97,0.07,407.87,10.52,extra_ritual_group_markers
fit_phylo_year,-3.01,2.16,-204.95,6.16,21.46,0.96,409.9,12.32,extra_ritual_group_markers
fit_phylo,0,0,-166.69,8.26,18.78,1.23,333.38,16.51,food_taboos
fit_phylo_repeat,-0.75,0.48,-167.44,8.29,21.02,1.34,334.87,16.59,food_taboos
fit_phylo_year,-2.88,2.3,-169.57,8.98,26.81,1.94,339.14,17.97,food_taboos
fit_base,-3.94,3.11,-170.63,7.76,1.96,0.11,341.26,15.53,food_taboos
fit_phylo_year,0,0,-138.1,9.72,21.63,2.15,276.19,19.45,hair
fit_phylo,-1.51,2.85,-139.61,9.56,16.22,1.49,279.22,19.12,hair
fit_phylo_repeat,-1.79,2.94,-139.88,9.65,20.59,1.85,279.76,19.3,hair
fit_base,-3.33,3.32,-141.43,9.55,1.93,0.17,282.86,19.11,hair
fit_phylo_year,0,0,-136.44,9.88,18.23,1.79,272.87,19.76,ornaments
fit_phylo,-2.91,3.08,-139.34,9.68,16.86,1.52,278.68,19.35,ornaments
fit_phylo_repeat,-3.6,3.12,-140.04,9.75,18.97,1.7,280.07,19.49,ornaments
fit_base,-6.12,4.03,-142.55,9.55,1.87,0.17,285.11,19.1,ornaments
fit_phylo_repeat,0,0,-108.89,12.15,15.55,2.19,217.78,24.31,permanent_scarring
fit_phylo,-0.11,0.56,-109,12.16,9.86,1.42,218,24.31,permanent_scarring
fit_phylo_year,-0.27,2.74,-109.16,12.39,16.46,2.37,218.31,24.79,permanent_scarring
fit_base,-0.27,1.48,-109.16,12.12,1.8,0.27,218.32,24.25,permanent_scarring
fit_phylo_year,0,0,-85.9,10.52,11.06,1.93,171.81,21.04,tattoos_scarification
fit_base,-7.32,2.88,-93.22,11.1,1.8,0.29,186.44,22.19,tattoos_scarification
fit_phylo,-7.48,2.53,-93.39,11.19,10.76,1.67,186.77,22.39,tattoos_scarification
fit_phylo_repeat,-7.52,2.57,-93.43,11.23,16.21,2.49,186.85,22.47,tattoos_scarification
