marker,model,parameter,median,lo95,hi95
circumcision,fit_base,Intercept,-2.04,-2.5,-1.58
circumcision,fit_base,violent_external,1.07,0.51,1.69
circumcision,fit_phylo,Intercept,-1.9,-2.86,-0.97
circumcision,fit_phylo,violent_external,0.96,0.26,1.72
circumcision,fit_phylo_repeat,Intercept,-2.01,-2.95,-1.04
circumcision,fit_phylo_repeat,violent_external,1.01,0.28,1.73
circumcision,fit_phylo_year,Intercept,-1.72,-2.84,-0.65
circumcision,fit_phylo_year,violent_external,0.85,0.08,1.61
circumcision,fit_phylo_year,year_scaled,0.24,-0.28,0.78
circumcision,fit_phylo_year,world_regionCentralEurasia,0.3,-1.28,1.88
circumcision,fit_phylo_year,world_regionEastAsia,-0.97,-2.39,0.35
circumcision,fit_phylo_year,world_regionEurope,-1.13,-2.22,-0.06
circumcision,fit_phylo_year,world_regionNorthAmerica,-0.55,-2.04,0.81
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,0.44,-1.17,2.14
circumcision,fit_phylo_year,world_regionSouthAmerica,-0.3,-2.04,1.49
circumcision,fit_phylo_year,world_regionSouthAsia,-0.27,-1.85,1.2
circumcision,fit_phylo_year,world_regionSoutheastAsia,0.14,-1.26,1.46
circumcision,fit_phylo_year,world_regionSouthwestAsia,0.82,-0.25,1.88
dress,fit_base,Intercept,-1.36,-1.75,-1
dress,fit_base,violent_external,0.82,0.29,1.33
dress,fit_phylo,Intercept,-1.32,-1.81,-0.83
dress,fit_phylo,violent_external,0.82,0.29,1.37
dress,fit_phylo_repeat,Intercept,-1.33,-1.84,-0.88
dress,fit_phylo_repeat,violent_external,0.81,0.25,1.36
dress,fit_phylo_year,Intercept,-1.57,-2.17,-0.92
dress,fit_phylo_year,violent_external,1.01,0.43,1.58
dress,fit_phylo_year,year_scaled,0.16,-0.2,0.52
dress,fit_phylo_year,world_regionCentralEurasia,0.15,-1.27,1.59
dress,fit_phylo_year,world_regionEastAsia,0.58,-0.4,1.44
dress,fit_phylo_year,world_regionEurope,-0.16,-0.95,0.63
dress,fit_phylo_year,world_regionNorthAmerica,-0.18,-1.32,0.86
dress,fit_phylo_year,world_regionOceaniaMAustralia,-0.39,-2.14,1.37
dress,fit_phylo_year,world_regionSouthAmerica,0.96,-0.49,2.35
dress,fit_phylo_year,world_regionSouthAsia,0.51,-0.41,1.41
dress,fit_phylo_year,world_regionSoutheastAsia,0.47,-0.48,1.49
dress,fit_phylo_year,world_regionSouthwestAsia,-0.19,-1.19,0.78
extra_ritual_group_markers,fit_base,Intercept,-0.8,-1.1,-0.49
extra_ritual_group_markers,fit_base,violent_external,1.05,0.6,1.5
extra_ritual_group_markers,fit_phylo,Intercept,-0.67,-1.16,-0.15
extra_ritual_group_markers,fit_phylo,violent_external,1.06,0.56,1.55
extra_ritual_group_markers,fit_phylo_repeat,Intercept,-0.69,-1.13,-0.21
extra_ritual_group_markers,fit_phylo_repeat,violent_external,1.07,0.59,1.58
extra_ritual_group_markers,fit_phylo_year,Intercept,-0.93,-1.5,-0.29
extra_ritual_group_markers,fit_phylo_year,violent_external,1.15,0.63,1.66
extra_ritual_group_markers,fit_phylo_year,year_scaled,0.04,-0.28,0.36
extra_ritual_group_markers,fit_phylo_year,world_regionCentralEurasia,-0.15,-1.55,1.22
extra_ritual_group_markers,fit_phylo_year,world_regionEastAsia,0.4,-0.5,1.22
extra_ritual_group_markers,fit_phylo_year,world_regionEurope,-0.03,-0.81,0.63
extra_ritual_group_markers,fit_phylo_year,world_regionNorthAmerica,0.09,-0.84,1.02
extra_ritual_group_markers,fit_phylo_year,world_regionOceaniaMAustralia,0.85,-0.6,2.23
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAmerica,1.07,-0.24,2.3
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAsia,0.47,-0.39,1.38
extra_ritual_group_markers,fit_phylo_year,world_regionSoutheastAsia,0.52,-0.46,1.51
extra_ritual_group_markers,fit_phylo_year,world_regionSouthwestAsia,0.02,-0.86,0.9
food_taboos,fit_base,Intercept,-1.37,-1.73,-1.01
food_taboos,fit_base,violent_external,0.98,0.47,1.47
food_taboos,fit_phylo,Intercept,-1.36,-2.02,-0.77
food_taboos,fit_phylo,violent_external,0.99,0.43,1.57
food_taboos,fit_phylo_repeat,Intercept,-1.37,-2,-0.79
food_taboos,fit_phylo_repeat,violent_external,0.99,0.44,1.58
food_taboos,fit_phylo_year,Intercept,-1.48,-2.27,-0.75
food_taboos,fit_phylo_year,violent_external,1.13,0.54,1.72
food_taboos,fit_phylo_year,year_scaled,0.03,-0.34,0.42
food_taboos,fit_phylo_year,world_regionCentralEurasia,0.12,-1.35,1.55
food_taboos,fit_phylo_year,world_regionEastAsia,0.38,-0.64,1.4
food_taboos,fit_phylo_year,world_regionEurope,-0.66,-1.53,0.14
food_taboos,fit_phylo_year,world_regionNorthAmerica,0.14,-0.97,1.13
food_taboos,fit_phylo_year,world_regionOceaniaMAustralia,0,-1.65,1.65
food_taboos,fit_phylo_year,world_regionSouthAmerica,0.44,-1.1,1.93
food_taboos,fit_phylo_year,world_regionSouthAsia,0.37,-0.66,1.4
food_taboos,fit_phylo_year,world_regionSoutheastAsia,0.36,-0.72,1.41
food_taboos,fit_phylo_year,world_regionSouthwestAsia,-0.09,-1.07,0.87
hair,fit_base,Intercept,-1.73,-2.17,-1.35
hair,fit_base,violent_external,0.75,0.18,1.28
hair,fit_phylo,Intercept,-1.73,-2.42,-1.13
hair,fit_phylo,violent_external,0.84,0.27,1.49
hair,fit_phylo_repeat,Intercept,-1.77,-2.37,-1.15
hair,fit_phylo_repeat,violent_external,0.82,0.23,1.49
hair,fit_phylo_year,Intercept,-1.91,-2.66,-1.15
hair,fit_phylo_year,violent_external,1.15,0.48,1.83
hair,fit_phylo_year,year_scaled,-0.02,-0.42,0.4
hair,fit_phylo_year,world_regionCentralEurasia,-0.21,-1.77,1.22
hair,fit_phylo_year,world_regionEastAsia,0.83,-0.12,1.82
hair,fit_phylo_year,world_regionEurope,-0.66,-1.51,0.29
hair,fit_phylo_year,world_regionNorthAmerica,-0.01,-1.13,1.09
hair,fit_phylo_year,world_regionOceaniaMAustralia,0.37,-1.37,2.1
hair,fit_phylo_year,world_regionSouthAmerica,1.08,-0.32,2.6
hair,fit_phylo_year,world_regionSouthAsia,0.37,-0.67,1.37
hair,fit_phylo_year,world_regionSoutheastAsia,0.12,-1.04,1.22
hair,fit_phylo_year,world_regionSouthwestAsia,-1.09,-2.28,0.12
ornaments,fit_base,Intercept,-1.67,-2.05,-1.28
ornaments,fit_base,violent_external,0.63,0.07,1.17
ornaments,fit_phylo,Intercept,-1.63,-2.27,-0.99
ornaments,fit_phylo,violent_external,0.7,0.11,1.36
ornaments,fit_phylo_repeat,Intercept,-1.64,-2.29,-1.04
ornaments,fit_phylo_repeat,violent_external,0.7,0.07,1.33
ornaments,fit_phylo_year,Intercept,-1.77,-2.48,-1.08
ornaments,fit_phylo_year,violent_external,0.85,0.24,1.54
ornaments,fit_phylo_year,year_scaled,-0.1,-0.5,0.31
ornaments,fit_phylo_year,world_regionCentralEurasia,-0.7,-2.38,0.79
ornaments,fit_phylo_year,world_regionEastAsia,-0,-1.12,0.98
ornaments,fit_phylo_year,world_regionEurope,-0.5,-1.41,0.4
ornaments,fit_phylo_year,world_regionNorthAmerica,-0.45,-1.66,0.72
ornaments,fit_phylo_year,world_regionOceaniaMAustralia,0.71,-0.92,2.24
ornaments,fit_phylo_year,world_regionSouthAmerica,1.07,-0.31,2.55
ornaments,fit_phylo_year,world_regionSouthAsia,0.77,-0.22,1.72
ornaments,fit_phylo_year,world_regionSoutheastAsia,0.94,-0.06,1.96
ornaments,fit_phylo_year,world_regionSouthwestAsia,-0.95,-2.14,0.28
permanent_scarring,fit_base,Intercept,-2.73,-3.31,-2.23
permanent_scarring,fit_base,violent_external,0.97,0.26,1.64
permanent_scarring,fit_phylo,Intercept,-2.74,-3.44,-2.08
permanent_scarring,fit_phylo,violent_external,0.94,0.24,1.63
permanent_scarring,fit_phylo_repeat,Intercept,-2.81,-3.57,-2.13
permanent_scarring,fit_phylo_repeat,violent_external,0.96,0.22,1.68
permanent_scarring,fit_phylo_year,Intercept,-2.82,-3.68,-2.02
permanent_scarring,fit_phylo_year,violent_external,0.92,0.2,1.69
permanent_scarring,fit_phylo_year,year_scaled,-0.35,-0.76,0.08
permanent_scarring,fit_phylo_year,world_regionCentralEurasia,-0.49,-2.14,1.08
permanent_scarring,fit_phylo_year,world_regionEastAsia,-0.4,-1.83,0.97
permanent_scarring,fit_phylo_year,world_regionEurope,-0.49,-1.5,0.49
permanent_scarring,fit_phylo_year,world_regionNorthAmerica,0.16,-1.07,1.33
permanent_scarring,fit_phylo_year,world_regionOceaniaMAustralia,1.08,-0.29,2.56
permanent_scarring,fit_phylo_year,world_regionSouthAmerica,0.86,-0.47,2.15
permanent_scarring,fit_phylo_year,world_regionSouthAsia,0.06,-1.15,1.25
permanent_scarring,fit_phylo_year,world_regionSoutheastAsia,0.09,-1.15,1.33
permanent_scarring,fit_phylo_year,world_regionSouthwestAsia,0.28,-0.77,1.39
tattoos_scarification,fit_base,Intercept,-2.59,-3.16,-2.05
tattoos_scarification,fit_base,violent_external,0.84,0.11,1.55
tattoos_scarification,fit_phylo,Intercept,-2.54,-3.3,-1.82
tattoos_scarification,fit_phylo,violent_external,0.84,0.05,1.6
tattoos_scarification,fit_phylo_repeat,Intercept,-2.62,-3.47,-1.84
tattoos_scarification,fit_phylo_repeat,violent_external,0.87,0.11,1.65
tattoos_scarification,fit_phylo_year,Intercept,-2.63,-3.4,-1.84
tattoos_scarification,fit_phylo_year,violent_external,0.97,0.15,1.77
tattoos_scarification,fit_phylo_year,year_scaled,0.1,-0.4,0.66
tattoos_scarification,fit_phylo_year,world_regionCentralEurasia,-0.46,-2.13,1.19
tattoos_scarification,fit_phylo_year,world_regionEastAsia,0.21,-0.99,1.41
tattoos_scarification,fit_phylo_year,world_regionEurope,-1.53,-2.84,-0.29
tattoos_scarification,fit_phylo_year,world_regionNorthAmerica,-0.07,-1.3,1.18
tattoos_scarification,fit_phylo_year,world_regionOceaniaMAustralia,1.66,0.22,3.11
tattoos_scarification,fit_phylo_year,world_regionSouthAmerica,0.85,-0.72,2.31
tattoos_scarification,fit_phylo_year,world_regionSouthAsia,0.25,-0.93,1.3
tattoos_scarification,fit_phylo_year,world_regionSoutheastAsia,0.56,-0.55,1.67
tattoos_scarification,fit_phylo_year,world_regionSouthwestAsia,-0.87,-2.25,0.34
