Marker,N,sd_world_region,sd_phylo,sd_tip_name
Permanent Scarring,418,"0.78 [0.06, 1.84]","1.02 [0.04, 2.58]","1.02 [0.05, 2.20]"
Extra-Ritual In-Group Markers,377,"0.23 [0.01, 0.75]","1.14 [0.20, 2.09]","0.62 [0.03, 1.35]"
Circumcision,357,"0.94 [0.11, 2.13]","1.13 [0.06, 2.51]","0.73 [0.03, 1.72]"
Dress,353,"0.23 [0.01, 0.76]","1.07 [0.12, 2.06]","0.59 [0.03, 1.38]"
Food Taboos,359,"0.24 [0.01, 0.78]","1.33 [0.07, 3.06]","1.39 [0.12, 2.56]"
Hair,352,"0.24 [0.01, 0.78]","1.30 [0.32, 2.28]","0.52 [0.02, 1.41]"
Ornaments,353,"0.44 [0.01, 1.39]","1.75 [0.96, 2.78]","0.57 [0.02, 1.57]"
Tattoos/Scarification,357,"1.05 [0.04, 2.93]","2.78 [1.37, 4.78]","0.68 [0.02, 2.12]"
