Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Permanent Scarring,418,0.16,-0.82,1.08,0.64,0.02
Extra-Ritual In-Group Markers,377,-0.31,-0.97,0.35,0.17,-0.07
Circumcision,357,-0.24,-1.14,0.62,0.29,-0.03
Dress,353,-0.62,-1.41,0.13,0.05,-0.12
Food Taboos,359,-0.09,-0.86,0.67,0.41,-0.02
Hair,352,-0.64,-1.52,0.19,0.07,-0.11
Ornaments,353,-0.35,-1.24,0.51,0.22,-0.07
Tattoos/Scarification,357,-0.58,-1.82,0.58,0.18,-0.09
