Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Permanent Scarring,418,0.11,-0.71,0.89,0.61,0.02
Extra-Ritual In-Group Markers,381,-0.39,-0.97,0.18,0.09,-0.09
Circumcision,358,-0.33,-1.11,0.41,0.2,-0.03
Dress,355,-0.59,-1.3,0.07,0.04,-0.1
Food Taboos,360,-0.14,-0.78,0.47,0.34,-0.02
Hair,354,-0.64,-1.43,0.1,0.05,-0.09
Ornaments,355,-0.49,-1.27,0.27,0.1,-0.08
Tattoos/Scarification,358,-0.61,-1.69,0.35,0.12,-0.06
