Marker,N,divergences,max_rhat,min_bulk_ess,min_tail_ess
Permanent Scarring,418,0,1.002,3166,3522
Extra-Ritual In-Group Markers,381,0,1.001,3302,3481
Circumcision,358,0,1.001,2218,3073
Dress,355,0,1.003,4295,3281
Food Taboos,360,0,1.001,4052,3276
Hair,354,0,1.002,4629,3605
Ornaments,355,0,1.001,1960,2784
Tattoos/Scarification,358,0,1.003,1742,2523
