Marker,N,n_tips,divergences,max_rhat,min_bulk_ess,min_tail_ess
Permanent Scarring,418,133,0,1.005,3004,4588
Extra-Ritual In-Group Markers,377,114,0,1.003,3188,4139
Circumcision,357,99,0,1.005,7401,5575
Dress,353,96,0,1.004,3255,5159
Food Taboos,359,102,0,1.007,1848,3843
Hair,352,100,0,1.004,3688,4633
Ornaments,353,100,0,1.005,4535,5342
Tattoos/Scarification,357,102,0,1.003,6831,5764
