Marker,N,Intercept,internal_only,year_scaled
Permanent Scarring,418,"-2.06 [-3.08, -0.99]","0.16 [-0.82, 1.08]","-0.24 [-0.70, 0.23]"
Extra-Ritual In-Group Markers,377,"0.51 [-0.24, 1.49]","-0.31 [-0.97, 0.35]","0.12 [-0.23, 0.47]"
Circumcision,357,"-1.62 [-2.73, -0.51]","-0.24 [-1.14, 0.62]","0.13 [-0.31, 0.59]"
Dress,353,"-0.46 [-1.22, 0.47]","-0.62 [-1.41, 0.13]","0.32 [-0.07, 0.73]"
Food Taboos,359,"-0.33 [-1.27, 0.88]","-0.09 [-0.86, 0.67]","0.05 [-0.38, 0.50]"
Hair,352,"-0.68 [-1.55, 0.35]","-0.64 [-1.52, 0.19]","0.14 [-0.26, 0.57]"
Ornaments,353,"-0.28 [-1.36, 0.92]","-0.35 [-1.24, 0.51]","-0.09 [-0.55, 0.40]"
Tattoos/Scarification,357,"-0.78 [-2.33, 0.89]","-0.58 [-1.82, 0.58]","0.10 [-0.58, 0.82]"
