marker,parameter,median,lo95,hi95
circumcision,Intercept,-2.2,-2.73,-1.72
circumcision,violent_internal,0.36,-0.45,1.17
dress,Intercept,-1.14,-1.5,-0.81
dress,violent_internal,-0.31,-1.06,0.39
extra_ritual_group_markers,Intercept,-0.82,-1.15,-0.49
extra_ritual_group_markers,violent_internal,0.07,-0.55,0.67
food_taboos,Intercept,-1.58,-1.99,-1.18
food_taboos,violent_internal,0.44,-0.26,1.12
hair,Intercept,-1.54,-1.93,-1.14
hair,violent_internal,-0.33,-1.13,0.46
ornaments,Intercept,-1.64,-2.02,-1.22
ornaments,violent_internal,-0.24,-1.06,0.57
permanent_scarring,Intercept,-3.34,-4.11,-2.62
permanent_scarring,violent_internal,0.94,-0.07,1.97
tattoos_scarification,Intercept,-2.49,-3.08,-1.97
tattoos_scarification,violent_internal,-0.52,-1.67,0.57
