Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(violent_external) > 0,1.5041529837835006,0.5552705138288855,0.6322930407238536,2.398650183579614,157.41584158415841,0.9936875,*
(year_scaled) > 0,-0.24778820488079217,0.1913672288364988,-0.5593572886984393,0.07106036636276272,0.10864745011086474,0.09799999999999999,
