parameter,Estimate,l-95% CI,u-95% CI
intercept,0.16168172681611803,0.09316613388406086,0.25099003809476
beta,0.27733128526785167,0.15246620149141837,0.4552717935295664
effect,0.11564955845173361,-0.0100691909202371,0.27127972776418685
