parameter,Estimate,l-95% CI,u-95% CI
intercept,0.06098099705804083,0.011573475319171578,0.16343093712190224
beta,0.07837782079353807,0.007151410742047483,0.26277988158046867
effect,0.017396823735497238,-0.060086122037682245,0.1516368164519762
