parameter,Estimate,l-95% CI,u-95% CI
intercept,0.22908053982090099,0.15593000366902,0.3151006964622219
beta,0.3842376786256617,0.22737910862460864,0.5828230593756762
effect,0.15515713880476073,-0.0037058008568813445,0.35091382951030137
