parameter,Estimate,l-95% CI,u-95% CI
intercept,0.15409341543519137,0.05799053975002808,0.30961028691073494
beta,0.24005168424108048,0.06707173217341578,0.5180430682313595
effect,0.08595826880588911,-0.08719434150390469,0.32504708379823416
