parameter,Estimate,l-95% CI,u-95% CI
intercept,0.31086590003128267,0.23518275977119876,0.4026862829115239
beta,0.5532136914929445,0.3835315816647667,0.7411217363464996
effect,0.24234779146166183,0.0679620365594825,0.4331809008410952
