parameter,Estimate,l-95% CI,u-95% CI
intercept,0.04961323274318569,0.013738020283534094,0.11989913634573421
beta,0.18531532915730015,0.058900033424981235,0.411324857350029
effect,0.13570209641411446,0.026050326185199594,0.32272693598095914
