parameter,Estimate,l-95% CI,u-95% CI
intercept,0.18969885921107685,0.12666970407680764,0.2631507311879427
beta,0.41367375282947416,0.24105850704713153,0.6057256899522737
effect,0.2239748936183973,0.04583734382984422,0.4168773141732453
