parameter,Estimate,l-95% CI,u-95% CI
intercept,0.09127804220217887,0.025457640124463252,0.19380725589856773
beta,0.22086825567512886,0.06190273049904373,0.4394786043411402
effect,0.12959021347295,-0.012870698890218583,0.3211068219688688
