entry_id,entrytag_name,Glottocode,tip_name,coding,fit
1337,Old Aramaic (up to 700 BCE),olda1246,AA.SEMITIC.AMEDYA_ARAMAIC,Willis Monroe,
1006,Old Egyptian,olde1242,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN,Willis Monroe,
896,Old Japanese,oldj1239,Jap.JAPANESE.JAPANESE,Edward Slingerland,poor
624,Pashto,pash1269,HM.HMONG_MIEN.HMONG_DAW,Julian Weideman ,
626,Patamona,pata1262,Car.CARIBAN.TIRIYO,Edward Slingerland,
1436,Semitic,semi1276,IE.GREEK.GREEK_ANCIENT,Willis Monroe,
719,Trinidadian Creole English,trin1276,IE.GERMANIC.ENGLISH,Edward Slingerland,poor
173,Turkic,turk1311,IE.GREEK.GREEK_ANCIENT,Willis Monroe,
257,Zapotecan,zapo1436,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN,Diana Moreiras,poor
1397,Zapotec,zapo1437,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN,Diana Moreiras,poor
