entry_id,entry_name,entrytag_name,entrytag_used,glottolog_name,glottolog_id,asjp_id,jaeger_id,glottocode_cands,resolution_status,n_candidates,source,coder_v1,confidence_v1,tip_coder,tip_assigned,tip_confidence,tip_comment
173,Johannine Christianity,Turkic,,Ionic-Attic Ancient Greek,anci1242,GREEK_ANCIENT,IE.GREEK.GREEK_ANCIENT,,resolved_unique,1,manual_B,Willis Monroe,,Willis Monroe,IE.GREEK.GREEK_ANCIENT,good,
174,Matthew-James-Didache Movement,Classical Syriac,Classical Syriac,Classical Syriac,clas1252,"CLASSICAL_SYRIAC, SYRIAC, SYRIAC_2","AA.SEMITIC.CLASSICAL_SYRIAC, AA.SEMITIC.SYRIAC, AA.SEMITIC.SYRIAC_2",clas1252,resolved_multiple,3,DRH,,,Willis Monroe,AA.SEMITIC.CLASSICAL_SYRIAC,good,
180,Chinese Folk Religion,Old Chinese,Old Chinese,Old Chinese,oldc1244,OLD_CHINESE,ST.CHINESE.OLD_CHINESE,oldc1244,resolved_unique,1,DRH,,,Willis Monroe,ST.CHINESE.OLD_CHINESE,good,
196,Pauline Christianity (ca. 45-60 CE),Ottoman Turkish,Ionic-Attic Ancient Greek,Ionic-Attic Ancient Greek,anci1242,GREEK_ANCIENT,IE.GREEK.GREEK_ANCIENT,anci1242,resolved_unique,1,DRH,,,Willis Monroe,IE.GREEK.GREEK_ANCIENT,perfect,
212,Warring States (China) Religion,Shanggu Hanyu,Old Chinese,Old Chinese,oldc1244,OLD_CHINESE,ST.CHINESE.OLD_CHINESE,oldc1244,resolved_unique,1,DRH,,,Willis Monroe,ST.CHINESE.OLD_CHINESE,good,
217,Roman private religion,,Latin,Latin,lati1261,LATIN,IE.ROMANCE.LATIN,lati1261,resolved_unique,1,manual_A,Matthew Hamm,,Matthew Hamm,IE.ROMANCE.LATIN,perfect,
222,Late Classic Lowland Maya,Chol-Chontal,,Chol,chol1282,CHOL_TILA,May.MAYAN.CHOL_TILA,,resolved_unique,1,manual_B,Diana Moreiras,poor,Diana Moreiras,May.MAYAN.CHOL_TILA,poor,
230,Religion in Mesopotamia,Akkadian,Akkadian,Akkadian,akka1240,"AKKADIAN, AKKADIAN_2","AA.SEMITIC.AKKADIAN, AA.SEMITIC.AKKADIAN_2",akka1240,resolved_multiple,2,DRH,,,Willis Monroe,AA.SEMITIC.AKKADIAN,perfect,"In these cases with same base name, should be safe to just always pick the first. Here that would be ""AA.SEMITIC.AKKADIAN""."
231,Roman private religion,Corsican,Corsican,Corsican,cors1241,CORSICAN,IE.ROMANCE.CORSICAN,cors1241,resolved_unique,1,DRH,,,Willis Monroe,IE.ROMANCE.LATIN,good,
257,Classic Zapotec,Zapotecan,,Chiquihuitlán Mazatec,chiq1250,SAN_JUAN_CHIQUIHUITLAN,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN,,resolved_unique,1,manual_B,Diana Moreiras,poor,Diana Moreiras,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN,poor,
284,Yolngu religion,Wubulkarra,Nuclear Dhuwal,Nuclear Dhuwal,nucl1333,"DHUWAL, DJAPU","Aus.PAMA_NYUNGAN.DHUWAL, Aus.PAMA_NYUNGAN.DJAPU",nucl1333,resolved_multiple,2,DRH,,,Willis Monroe,Aus.PAMA_NYUNGAN.DHUWAL,poor,
354,Priests and Scholars of Hellenistic Uruk,Late Babylonian,Akkadian,Akkadian,akka1240,"AKKADIAN, AKKADIAN_2","AA.SEMITIC.AKKADIAN, AA.SEMITIC.AKKADIAN_2",akka1240,resolved_multiple,2,DRH,,,Willis Monroe,AA.SEMITIC.AKKADIAN,perfect,
