entry_id,circumcision,dress,extra_ritual_group_markers,food_taboos,hair,ornaments,permanent_scarring,tattoos_scarification,violent_external,violent_internal,year_from,region_id,data_source,world_region,year_scaled,judges_other,judges_own,legal_code_other,legal_code_own,military_participate,military_possess,military_protected,police_force_other,police_force_own,punish_other,punish_own,society_type,state
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,483,Database of Religious History (DRH) [default],Southwest Asia,-0.9590305154311032,1.0,0.0,1.0,0.0,,0.0,1.0,,0.0,1.0,0.0,An empire,1.0
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50,352,Database of Religious History (DRH) [default],Southwest Asia,-0.996275429870828,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,An empire,1.0
180,,,1.0,,,,,,0.0,0.0,-350,10,Database of Religious History (DRH) [default],East Asia,-1.368724574268077,,,,,,,,,,,,,
196,,,,,,,0.0,,0.0,0.0,45,479,Database of Religious History (DRH) [default],Europe,-1.0009310441757937,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,,
212,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-481,467,Database of Religious History (DRH) [default],East Asia,-1.4907016690581758,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A state,1.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202,498,Database of Religious History (DRH) [default],Europe,-1.2309183908410948,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,
222,,,1.0,,,,0.0,,1.0,1.0,600,56,Database of Religious History (DRH) [default],North America,-0.4841578563246108,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-3300,494,Database of Religious History (DRH) [default],Southwest Asia,-4.115537014197787,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,,A state,1.0
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-600,540,Database of Religious History (DRH) [default],Europe,-1.6015052895163573,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,A state,1.0
257,0.0,1.0,1.0,,,1.0,,1.0,0.0,0.0,250,550,Database of Religious History (DRH) [default],North America,-0.8100508576722035,,,,,,,1.0,,,,,,
284,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3500,567,Database of Religious History (DRH) [default],Oceania-Australia,-4.301761586396411,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,
354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-330,640,Database of Religious History (DRH) [default],Southwest Asia,-1.3501021170482144,1.0,1.0,,,,0.0,1.0,1.0,0.0,1.0,1.0,An empire,1.0
381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469,481,Database of Religious History (DRH) [default],South Asia,0.3249879098784123,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,An empire,1.0
389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1840,656,Pulotu — Database of Pacific Religions,Southeast Asia,0.6704344913068606,,0.0,,,,0.0,,,0.0,,0.0,,
392,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1606,652,Database of Religious History (DRH) [default],South Asia,0.45255174183447,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,An empire,1.0
