entry_id,entry_name,entrytag_name,tip_assigned,asjp_id,glottolog_id,glottolog_name,tip_coder,tip_confidence
173,Johannine Christianity,Turkic,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
174,Matthew-James-Didache Movement,Classical Syriac,AA.SEMITIC.CLASSICAL_SYRIAC,CLASSICAL_SYRIAC,clas1252,Classical Syriac,Willis Monroe,good
180,Chinese Folk Religion,Old Chinese,ST.CHINESE.OLD_CHINESE,OLD_CHINESE,oldc1244,Old Chinese,Willis Monroe,good
196,Pauline Christianity (ca. 45-60 CE),Ottoman Turkish,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,perfect
212,Warring States (China) Religion,Shanggu Hanyu,ST.CHINESE.OLD_CHINESE,OLD_CHINESE,oldc1244,Old Chinese,Willis Monroe,good
217,Roman private religion,,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Matthew Hamm,perfect
222,Late Classic Lowland Maya,Chol-Chontal,May.MAYAN.CHOL_TILA,CHOL_TILA,chol1282,Chol,Diana Moreiras,poor
230,Religion in Mesopotamia,Akkadian,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240,Akkadian,Willis Monroe,perfect
231,Roman private religion,Corsican,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
257,Classic Zapotec,Zapotecan,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN,SAN_JUAN_CHIQUIHUITLAN,chiq1250,Chiquihuitlán Mazatec,Diana Moreiras,poor
284,Yolngu religion,Wubulkarra,Aus.PAMA_NYUNGAN.DHUWAL,DHUWAL,nucl1333,Nuclear Dhuwal,Willis Monroe,poor
354,Priests and Scholars of Hellenistic Uruk,Late Babylonian,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240,Akkadian,Willis Monroe,perfect
381,Sikhism: Guru Nanak to Guru Arjan,Eastern Panjabi,IE.INDIC.PUNJABI_MAJHI,PUNJABI_MAJHI,panj1256,Eastern Panjabi,Willis Monroe,medium
389,Iban traditional religion,Iban,An.MALAYO_SUMBAWAN.IBAN,IBAN,iban1264,Iban,Willis Monroe,medium
392,Sikhism: Guru Hargobind to Guru Gobind Singh,Eastern Panjabi,IE.INDIC.PUNJABI_MAJHI,PUNJABI_MAJHI,panj1256,Eastern Panjabi,Willis Monroe,medium
400,Singaporean Mega-Churches,Singlish,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,poor
415,Shaiva World Renouncers,Hindi,IE.INDIC.HINDI,HINDI,hind1269,Hindi,Willis Monroe,good
419,The Worship of Jagannath in Puri (Odisha),Odia,IE.INDIC.ORIYA,ORIYA,oriy1255,Odia,Willis Monroe,good
422,Demeter Cult,Attic,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
424,Achaemenid Religion,Jewish Babylonian Aramaic (ca. 200-1200 CE),AA.SEMITIC.ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),Willis Monroe,good
441,Worshipers of Śītalā,Urdu,IE.INDIC.URDU,URDU,urdu1245,Urdu,Willis Monroe,good
442,Donatism,Neo-Punic,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
455,Lan Na Buddhism,Shan,TK.KAM_TAI.TAI_KHUEN,TAI_KHUEN,khun1259,Khün,Willis Monroe,poor
456,The Essenes,Ancient Hebrew,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244,Ancient Hebrew,Willis Monroe,good
469,Won-Buddhism,Ch'ungch'ongdo,Kor.KOREAN.KOREAN,KOREAN,kore1280,Korean,Willis Monroe,good
470,Archaic Spartan Cults,Doric,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
476,Cham Bani,Eastern Cham,An.MALAYO_SUMBAWAN.CHAM_EASTERN,CHAM_EASTERN,east2563,Eastern Cham,Willis Monroe,poor
483,Northern Irish Roman Catholics,Irish English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
484,Northern Irish Protestants,Irish English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
485,Sámi pre-Christian religion,Western Finnmarku Saami,Ura.SAAMI.LULE_SAAMI,LULE_SAAMI,lule1254,Lule Saami,Willis Monroe,good
486,Church of Jesus Christ of Latter-day Saints (early),North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
490,Guglielmites,Vulgar Latin,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
492,Roman Divination,Vulgar Latin,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
520,Cham Ahiér,Haroi,An.MALAYO_SUMBAWAN.CHAM_EASTERN,CHAM_EASTERN,east2563,Eastern Cham,Willis Monroe,poor
525,Church of Jesus Christ of Latter-day Saints (modern),North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,good
526,Hmong Christianity,Hmongic,HM.HMONG_MIEN.HMONG_DAW,HMONG_DAW,hmon1333,Hmong Daw,William Noseworthy,good
534,Roman Imperial Cult,Vulgar Latin,IE.ROMANCE.LATIN,LATIN,lati1261,Latin,Willis Monroe,good
562,Medieval Śrīvaiṣṇavism,,Dra.SOUTHERN_DRAVIDIAN.TAMIL,TAMIL,tami1289,Tamil,Matthew Hamm,good
563,"Gaddi, a Hindu community of the Western Himalayas",Hindi,IE.INDIC.PAHARI_MAHASU,PAHARI_MAHASU,maha1287,Mahasu Pahari,Willis Monroe,poor
564,Tribal Christianity (and allied castes) in the Himalayas,Nepali,IE.INDIC.NEPALI,NEPALI,nepa1254,Nepali,Willis Monroe,good
565,Fellahin,Egyptian Arabic,AA.SEMITIC.CAIRO_ARABIC,CAIRO_ARABIC,egyp1253,Egyptian Arabic,Willis Monroe,good
567,Gay and Lesbian Vaishnava Association (GALVA-108),English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,medium
570,Supreme Master Ching Hai World Society,English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,medium
576,Kuy traditional religions,Chang,AuA.KATUIC.KUI_THAILAND,KUI_THAILAND,kuyy1240,Kuy,Willis Monroe,good
577,Ganda,Ganda,NC.BANTOID.J15_GANDA,J15_GANDA,gand1255,Ganda,Willis Monroe,good
580,Nāth Sampradāya,Urdu,IE.INDIC.HINDI,HINDI,hind1269,Hindi,Willis Monroe,medium
581,Mentawai (Rereiket),South Siberut,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI,MENTAWAI,ment1249,Mentawai,Willis Monroe,good
590,Huayan School (Early Tang),Middle Chinese,ST.CHINESE.MIDDLE_CHINESE,MIDDLE_CHINESE,midd1344,Middle Chinese,Willis Monroe,good
592,Veerashaivas,Urdu,Dra.SOUTHERN_DRAVIDIAN.KANNADA,KANNADA,nucl1305,Kannada,Willis Monroe,medium
598,Masai,Purko,ESu.NILOTIC.MAASAI,MAASAI,masa1300,Masai,Willis Monroe,good
602,Amhara,,AA.SEMITIC.AMHARIC,AMHARIC,amha1245,Amharic,Willis Monroe,good
604,Bambara,Standard Bambara,Man.WESTERN_MANDE.BAMBARA,BAMBARA,bamb1269,Bambara,Willis Monroe,good
607,Mohism,,ST.CHINESE.MIDDLE_CHINESE,MIDDLE_CHINESE,midd1344,Middle Chinese,Willis Monroe,medium
608,Kurd,Kurdish,IE.IRANIAN.KURDISH_CENTRAL,KURDISH_CENTRAL,cent1972,Central Kurdish,Willis Monroe,good
623,Diasporic American Hinduism,North American English,IE.GERMANIC.ENGLISH,ENGLISH,stan1293,English,Willis Monroe,medium
624,The Roshaniyya,Pashto,IE.IRANIAN.PERSIAN,PERSIAN,west2369,Western Farsi,Willis Monroe,medium
626,Barama River Carib,Patamona,Car.CARIBAN.TIRIYO,TIRIYO,trio1238,Trió,Edward Slingerland,medium
629,Newar Buddhists,Nepali,IE.INDIC.NEPALI,NEPALI,nepa1254,Nepali,Willis Monroe,good
630,Aranda,Mparntwe Arrernte,Aus.PAMA_NYUNGAN.ARRERNTE_CENTRAL,ARRERNTE_CENTRAL,east2379,Eastern Arrernte,Willis Monroe,good
632,Local Religion at Selinous,Ionic-Attic Ancient Greek,IE.GREEK.GREEK_ANCIENT,GREEK_ANCIENT,anci1242,Ionic-Attic Ancient Greek,Willis Monroe,good
