entry_id,entry_name,year_from,year_to,region_id,world_region
465,Mysore,2014,2016,711,South Asia
468,Turkana,1870,2017,715,Africa
469,Won-Buddhism,1916,2017,717,East Asia
470,Archaic Spartan Cults,-800,-500,719,Europe
471,Urban Northern Ireland,2015,2016,720,Europe
472,Karma Kagyu or Kamtsang Kagyu,1110,2017,96,South Asia
476,Cham Bani,1000,2015,724,Southeast Asia
477,Tractarian Movement,1833,1845,725,Europe
478,Early Indian Buddhism,-450,1,726,South Asia
479,Mesopotamian city-state cults of the Early Dynastic periods,-2900,-2300,476,Southwest Asia
481,Huichol,1780,2000,728,North America
482,Miskito,1700,2000,729,North America
483,Northern Irish Roman Catholics,2015,2016,720,Europe
484,Northern Irish Protestants,2015,2016,720,Europe
485,Sámi pre-Christian religion,500,1500,730,Europe
486,Church of Jesus Christ of Latter-day Saints (early),1830,1951,731,North America
487,Bribri,1502,2010,732,North America
488,Yanomamo,1750,2010,733,South America
489,Callinago,1750,2010,734,North America
490,Guglielmites,1260,1302,738,Europe
491,Anglican Church,1530,2017,735,Africa
492,Roman Divination,-800,380,737,Europe
493,Krishna Worship in North India - Modern Period,1858,2017,739,South Asia
494,Cuna,1800,1995,740,North America
495,Goajiro,1499,2012,741,South America
496,Haitians,1791,2006,742,North America
497,Carib,1890,1970,743,South America
498,Papago,1700,2000,744,North America
499,Huvasupai,1700,2005,745,North America
500,Zuni,700,2000,746,North America
501,Chiricahua,1800,2010,747,North America
502,Comanche,1700,2000,748,North America
503,Creek,1700,2001,749,North America
509,Omaha,1700,1994,751,North America
510,Pawnee,1830,2010,752,North America
511,Gros Ventre,1700,2000,753,North America
512,Klamath,1700,1990,754,North America
513,Yokuts,1750,1990,755,North America
514,Pomo (Eastern),1800,2000,756,North America
515,Yurok,1775,2000,757,North America
516,Bellacoola,1750,2010,758,North America
517,Haida,1750,2010,759,North America
518,Kaska,1800,2000,760,North America
519,Saulteaux,1600,2000,761,North America
520,Cham Ahiér,1600,2015,762,Southeast Asia
522,Mi'kmaq,1500,2011,763,North America
524,Montagnais,1600,1990,765,North America
525,Church of Jesus Christ of Latter-day Saints (modern),1951,2018,660,Africa
526,Hmong Christianity,1900,2018,766,Southeast Asia
528,Copper Inuit,1771,1980,767,North America
529,Aleut,1741,1995,768,Europe
530,Ingalik,1830,2010,769,North America
531,Chukchee,1641,1989,770,Europe
532,Gilyak,1650,1989,771,Central Eurasia
533,Ainu,1263,2007,772,Central Eurasia
534,Roman Imperial Cult,-42,518,132,Europe
535,Pāśupatas,200,1200,798,South Asia
536,Manchu,947,2000,773,East Asia
537,Ifugao,1550,1970,774,Southeast Asia
538,Yapese,1526,2003,775,Oceania-Australia
539,Trukese,1880,1988,776,Oceania-Australia
540,Tikopia,1606,1980,777,Europe
541,Siuai,1900,2000,778,Oceania-Australia
542,New Ireland,1884,1975,692,Oceania-Australia
543,Manus,1884,2000,780,Oceania-Australia
544,Kwoma,1900,2003,781,Oceania-Australia
545,Kapauku,1938,1990,782,Southeast Asia
546,Orokaiva,1988,1989,783,Oceania-Australia
547,Aranda,1860,2000,784,Oceania-Australia
548,Tiwi,1750,1986,785,Oceania-Australia
549,Alorese,1854,1980,786,Southeast Asia
550,Iban,1841,1989,653,Southeast Asia
551,Tanala,1810,1998,788,Africa
552,Vedda,1000,1970,789,South Asia
553,Andamanese,1788,1983,790,South Asia
554,Nicobarese,1750,2011,791,South Asia
555,Semang,1900,1986,792,Southeast Asia
556,Lolo,1000,2000,793,Africa
557,Burusho,1878,2000,794,South Asia
558,Uttar Pradesh,1500,2010,795,South Asia
559,Santal,1854,1991,796,South Asia
562,Medieval Śrīvaiṣṇavism,1017,1445,480,South Asia
563,"Gaddi, a Hindu community of the Western Himalayas",1845,2018,797,South Asia
564,Tribal Christianity (and allied castes) in the Himalayas,1950,2018,799,South Asia
565,Fellahin,1925,1960,803,Africa
567,Gay and Lesbian Vaishnava Association (GALVA-108),2001,2024,802,Europe
569,Khalka Mongols,1895,1930,805,Central Eurasia
570,Supreme Master Ching Hai World Society,1986,2018,806,Southeast Asia
571,Abkhaz,1855,1890,807,Central Eurasia
572,Trobrianders,1890,1930,808,Oceania-Australia
574,Konso,1920,1967,810,Africa
576,Kuy traditional religions,1000,2018,811,Southeast Asia
577,Ganda,1860,1900,812,Africa
578,Gond,1875,1910,815,South Asia
