entry_id,entry_name,year_from,year_to
507,Athenian Civic Religion,-700,-323
509,Omaha,1700,1994
510,Pawnee,1830,2010
511,Gros Ventre,1700,2000
512,Klamath,1700,1990
513,Yokuts,1750,1990
514,Pomo (Eastern),1800,2000
515,Yurok,1775,2000
516,Bellacoola,1750,2010
517,Haida,1750,2010
518,Kaska,1800,2000
519,Saulteaux,1600,2000
520,Cham Ahiér,1600,2015
522,Mi'kmaq,1500,2011
524,Montagnais,1600,1990
525,Church of Jesus Christ of Latter-day Saints (modern),1951,2018
526,Hmong Christianity,1900,2018
528,Copper Inuit,1771,1980
529,Aleut,1741,1995
530,Ingalik,1830,2010
531,Chukchee,1641,1989
532,Gilyak,1650,1989
533,Ainu,1263,2007
534,Roman Imperial Cult,-42,518
535,Pāśupatas,200,1200
536,Manchu,947,2000
537,Ifugao,1550,1970
538,Yapese,1526,2003
539,Trukese,1880,1988
540,Tikopia,1606,1980
541,Siuai,1900,2000
542,New Ireland,1884,1975
543,Manus,1884,2000
544,Kwoma,1900,2003
545,Kapauku,1938,1990
546,Orokaiva,1988,1989
547,Aranda,1860,2000
548,Tiwi,1750,1986
549,Alorese,1854,1980
550,Iban,1841,1989
551,Tanala,1810,1998
552,Vedda,1000,1970
553,Andamanese,1788,1983
554,Nicobarese,1750,2011
555,Semang,1900,1986
556,Lolo,1000,2000
557,Burusho,1878,2000
558,Uttar Pradesh,1500,2010
559,Santal,1854,1991
561,Medieval Vaṭakalai Śrīvaiṣṇavism,1017,1445
562,Medieval Śrīvaiṣṇavism,1017,1445
563,"Gaddi, a Hindu community of the Western Himalayas",1845,2018
564,Tribal Christianity (and allied castes) in the Himalayas,1950,2018
565,Fellahin,1925,1960
566,Tibetan Diaspora in South Asia,1960,2018
567,Gay and Lesbian Vaishnava Association (GALVA-108),2001,2024
568,Early Chinese Buddhism Before An Shigao,50,148
569,Khalka Mongols,1895,1930
570,Supreme Master Ching Hai World Society,1986,2018
571,Abkhaz,1855,1890
572,Trobrianders,1890,1930
574,Konso,1920,1967
575,Kuy traditional religions,1500,2018
576,Kuy traditional religions,1000,2018
577,Ganda,1860,1900
578,Gond,1875,1910
579,Ismaili,632,2020
580,Nāth Sampradāya,1700,2018
581,Mentawai (Rereiket),1970,2018
582,Siamese (Central Thai),1930,1960
583,Local goddesses traditions of southern Karnataka,1000,2018
585,Kelantanese Thai Religion,2001,2018
586,Kelantanese Thai Religion,1900,2017
587,Early Christianity in Scandinavia,950,1150
588,Nyakyusa,1905,1940
589,Warrau,1915,1945
590,Huayan School (Early Tang),670,712
591,Koreans,1925,1950
592,Veerashaivas,1200,2018
593,Shreevaishnavas,500,2018
594,Wolof,1925,1955
595,Western Samoans,1804,1840
596,Deepavali,-7320,2018
597,Confucianism - Eastern Zhou,-600,-200
598,Masai,1875,1915
599,Lepcha,1920,1938
600,Riffians,1900,1930
601,Turks,1940,1965
602,Amhara,1930,1960
604,Bambara,1890,1923
605,Burmese,1940,1965
607,Mohism,-400,-200
608,Kurd,1926,1955
609,Tallensi,1915,1940
610,Somali,1900,1960
611,Javanese,1930,1960
612,Marshallese,1880,1915
613,Maori,1800,1830
614,!Kung,1925,1960
615,Radhasoami,1800,2018
616,Balinese,1933,1960
617,Okayama,1925,1960
618,Nuxalk,1860,1890
619,Gilyak,1865,1900
620,Papago,1900,1935
621,Haitians,1910,1935
622,Miskito,1896,1921
623,Diasporic American Hinduism,1893,2020
624,The Roshaniyya,1550,1640
625,Copper Inuit,1890,1915
626,Barama River Carib,1907,1935
627,Tikopia,1905,1935
628,Manipuri  Vaishnavas,17,20
629,Newar Buddhists,1200,2018
630,Aranda,1886,1913
631,Cayapa,1879,1909
632,Local Religion at Selinous,-650,-409
633,Mādhva,1238,2018
634,Classical Daoism,-350,-100
635,Ifugao,1890,1920
636,Balinese Śaiva priests (pedanda siwa),1500,2018
637,Yahgan,1900,1924
638,Klamath,1855,1900
639,Chinese Esoteric Buddhism (Tang Tantrism),716,900
640,Cathars,1000,1350
641,Waldensians,1100,2000
642,The Arch of Titus,81,81
644,Meo Muslims; Mev Muslim; Mewati Muslim,1100,2018
645,"Meo Muslim, Mev, Mewati Muslim",1100,2020
646,Lakota Religious Traditions,1889,2018
647,Havasupai,1893,1921
648,Haida,1870,1901
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",700,2019
650,Manus,1918,1945
651,Kapauku,1930,1955
652,Tiwi,1904,1930
653,The Arch of Constantine,312,315
654,12th-13th c Cistercians,1198,1250
655,Siriono,1917,1943
656,Burusho,1910,1935
657,Trukese,1912,1949
658,Mapuche,1925,1951
659,Delphi,-800,393
660,Iban,1941,1966
661,Congregation of Savigny,1113,1147
662,Goajiro,1922,1947
663,Temples of Mater Matuta and Fortuna at Sant'Omobono,-600,400
664,Mesopotamian Cultic Music,-3000,0
665,Elche Synagogue (Spain),200,700
666,Siuai,1914,1939
667,Ainu,1855,1880
668,Saramacca,1905,1930
669,Orokaiva,1900,1925
670,"Aedes Minerva, Rome",-260,315
671,Mbau Fijians,1820,1840
672,Qasr al-Bint,-30,400
673,Pawnee,1842,1870
674,Aymara,1915,1940
675,Chukchee,1885,1910
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",1198,1500
677,Yapese,1885,1910
678,"Elche, Spain Synagogue",250,350
679,Santal,1915,1940
680,Gujarati Mata Worshipers,1850,2019
681,Sargonic Empire,-2350,-2150
682,Lakher,1905,1935
683,"The Ppo Romé temple-tower complex (Bimong Kalan Ppo Romé, Tháp Ppo Romé)",1600,2015
684,Huron,1615,1640
685,Badjau,1940,1966
686,Popoluca,1915,1945
687,"Temple of Minerva, Forum Transitorium",85,315
688,Darul Uloom Deoband,1866,2019
689,Lengua,1869,1895
690,Ahl-e-Sunnat wa Jamaat,1880,2019
691,Fur,1870,1895
694,Eyak,1880,1910
695,Akan obayifo,1850,1960
697,Shavante,1928,1960
698,Akan sorcery,1850,1960
699,Amhara Buda,1950,1969
700,Akan obayifo,1850,1960
701,Akan sorcery,1850,1960
702,Amhara buda,1950,1969
703,Andamans ôko-pai·ad,1951,1953
704,Aranda nangarri,1896,1913
705,Aranda sorcerer,1896,1913
706,Aranda black magic by women,1896,1913
707,Aymara laiqa,1940,1942
708,Azande aboro mangu,1926,1929
709,Azande aira kele ngwa,1926,1930
710,Hidatsa,1816,1840
711,Kwoma,1912,1937
712,Huichol,1880,1934
713,Northern Saulteaux,1910,1940
714,Tamil Śaiva Bhakti,550,850
717,Igbo,1910,1940
718,Hinduism in Trinidad,1845,2018
719,Hinduism in Trinidad,1845,2018
720,Micronesian religions,1800,1995
721,Semang,1910,1940
722,Gros Ventre,1835,1885
723,Trumai,1910,1940
724,Aweikoma,1909,1934
725,Aleut,1770,1834
726,Early Śramaṇas,-700,500
727,Raglai,1160,2017
728,Pentecost,1928,1959
729,Kikuyu,1895,1930
730,The sect of the Pharisees,-167,73
731,Cult of Artemis at Ephesus,-600,476
732,Marquesans,1800,1875
733,Kaska,1870,1915
734,Montanism,172,800
735,South Asian Sufi Shrines,1072,2019
736,Jivaro,1895,1929
737,Nama Hottentot,1855,1900
738,Ancient Egyptian,-3000,300
739,Lakalai,1885,1910
741,Śākta Hinduism,-450,2019
742,Thai Bhikkhunis,2003,2020
743,Hausa,1875,1915
744,Rwala Bedouin,1887,1915
745,Buka,1860,1885
746,Assianism,-1000,2020
747,Uttar Pradesh,1920,1950
748,Lamet,1915,1945
749,Korean shamanism,1800,2020
750,Mekeo,1850,1875
751,Buddhism in the Mekong Delta,2000,2020
752,Haroi,1470,2019
753,Micmac,1645,1680
754,Shi'i Muslim Exiles of the 20th Century,1920,1979
755,Uyghur Islam,1850,2020
756,"Punjab/Delhi, India",-750,-250
757,Kiribati,1795,1820
758,Nicobarese,1870,1912
759,Comanche,1855,1880
760,"Punjab/Delhi, India",-250,1200
761,"Punjab/Delhi, India",1200,1600
762,"Punjab/Delhi, India",1600,2020
763,Moriori,1810,1835
764,Timbira (Canela),1900,1936
765,The Oneida Community,1848,1881
766,Garo,1930,1960
767,Local Religion at Syracuse,-734,-212
768,Mundurucu,1850,1900
769,Wogeo,1910,1935
770,Thai Forest Tradition,1920,2020
771,Muscular Christianity,1762,2020
772,The Apollonion at Syracuse,-580,-212
773,Altar of Hieron II,-269,-215
774,Altar of Hieron II,-269,-215
775,Jainism,-600,2020
776,Rock Relief of Kurangun,-1700,700
777,Syria,-538,-515
778,Syria,-538,-60
779,Syria,-514,-60
780,Chogha Zanbil (Al Untash-Napirisha),-1250,-1000
781,Syria,381,500
782,Syria,1206,1368
783,Upper Egypt: Archaic/Early Dynastic Period,-3150,-2686
784,Upper Egypt: Old Kingdom,-2686,-2181
785,Upper Egypt: First Intermediate Period,-2181,-2055
786,Upper Egypt: Middle Kingdom,-2055,-1650
787,Upper Egypt: Second Intermediate Period,-1650,-1550
788,The Late Bronze Age City-State of Ugarit,-1500,-1200
789,Adur Gushnasp (Takht-i Soleyman),375,1000
790,Upper Egypt: New Kingdom,-1550,-1069
791,Upper Egypt: Third Intermediate Period,-1069,-664
792,Upper Egypt: Late Period,-664,-332
793,Upper Egypt: Alexander and the Ptolemies,-332,-30
794,Omaha,1840,1880
795,"Micronesia, Guam, Commonwealth of the Northern Mariana Islands; the Fed. States of Micronesia (Yap, Chuuk, Pohnpei, Kosrae); Palau, Marshals",1700,1945
797,Native-Roman Auxiliary Cavalry Depositional Ritual Participants,-100,500
798,Mazdaism,-2000,2020
799,Upper Egypt: Roman Egypt,-30,390
800,Micronesia,-1700,1945
801,"Wat Preah Vihear Sour: A Popular Pilgrimage Site outside Phnom Penh, Cambodia",1000,2020
802,Chinese Nunnery in Myanmar,1945,2020
803,Italy: The Catholic Church,1530,1760
804,Italy: The Catholic Church,1760,1870
805,Italy: The Catholic Church,1870,1920
806,Italy: The Catholic Church,1929,2017
807,British Isles I: Pre-Roman Britain,-500,-43
808,British Isles II: Pre-Theodosian Roman Britain,-43,380
809,British Isles III: Pre-Theodosian Roman Britain Continued,-43,380
810,British Isles IV: Pre-Theodosian Roman Britain Continued,-43,380
811,British Isles V: Christian Roman Britain,380,500
812,Temple of the Jedi Order,2007,2020
813,Đồng Dương Temple,900,1000
814,British Isles VI: Christian Roman Britain,380,500
815,British Isles VII: Christian Roman Britain,380,500
816,British Paganism.,-500,350
817,Early Medieval British Christianity,350,650
818,"West Bengal, India",-300,600
819,"West Bengal, India",600,1200
820,"West Bengal, India",-1200,-300
821,"West Bengal, India",1200,1800
822,"West Bengal, India",1800,1950
823,"West Bengal, India",1950,2020
824,"Central Macedonia, Greece: Eastern Orthodoxy",1260,1302
825,"Central Macedonia, Greece: Eastern Orthodoxy",1530,1912
826,"The Church of Christ, Scientist",1866,2020
827,"Central Macedonia, Greece: Eastern Orthodoxy",1913,2017
828,Italy: The Franciscan Order,1209,1312
829,Italy: The Jesuit Order,1540,2017
831,Mỹ Sơn Sanctuary,500,1400
832,Temple of Prey Angkor Knung,700,2020
833,Dobu,1870,1895
834,The Plum Village Sangha of Thich Nhat Hanh,1982,2020
835,British Isles: Pre-Roman,-500,43
836,British Isles: Romano-British,43,500
837,Wat Ounalom,1500,2020
838,Phnom Oudong: A Sacred Mountain of Pre-colonial Khmer Royal Cities,1600,2020
839,19th century German Protestantism,1788,1914
841,Sa skya,1073,2020
842,American Evangelicalism,1730,2020
843,Bnay Qyāmā and Bnāt Qyāmā,300,900
844,Sо̄tо̄ Mission of San Francisco—Sо̄kо̄ji,1934,2020
845,Sо̄tо̄ Mission of San Francisco—Sо̄kо̄ji,1934,2020
846,Xuanzang's Yogācāra Tradition,645,696
848,Sadducees,-200,70
849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",1750,1850
850,Pre-Christian Religion / Paganism in Gaul,-600,-51
851,Sikhism in the United States,1899,2020
852,Pre-Christian Religion / Paganism in Ireland,-500,900
853,Pre-Christian Religion / Paganism in Northern Britain (Pictland / Scotland),-500,900
854,pre-Christian Irish,-400,900
855,Middle-Class Migrant Muslims in the UAE,1900,2020
