entry_id,tip_name
173,IE.GREEK.GREEK_ANCIENT
174,AA.SEMITIC.CLASSICAL_SYRIAC
180,ST.CHINESE.OLD_CHINESE
196,IE.GREEK.GREEK_ANCIENT
212,ST.CHINESE.OLD_CHINESE
217,IE.ROMANCE.LATIN
222,May.MAYAN.CHOL_TILA
230,AA.SEMITIC.AKKADIAN
231,IE.ROMANCE.LATIN
257,OM.POPOLOCAN.SAN_JUAN_CHIQUIHUITLAN
284,Aus.PAMA_NYUNGAN.DHUWAL
354,AA.SEMITIC.AKKADIAN
381,IE.INDIC.PUNJABI_MAJHI
389,An.MALAYO_SUMBAWAN.IBAN
392,IE.INDIC.PUNJABI_MAJHI
400,IE.GERMANIC.ENGLISH
415,IE.INDIC.HINDI
419,IE.INDIC.ORIYA
422,IE.GREEK.GREEK_ANCIENT
424,AA.SEMITIC.ACHAEMENID_ARAMAIC
441,IE.INDIC.URDU
442,IE.ROMANCE.LATIN
455,TK.KAM_TAI.TAI_KHUEN
456,AA.SEMITIC.BIBLICAL_HEBREW
469,Kor.KOREAN.KOREAN
470,IE.GREEK.GREEK_ANCIENT
476,An.MALAYO_SUMBAWAN.CHAM_EASTERN
483,IE.GERMANIC.ENGLISH
484,IE.GERMANIC.ENGLISH
485,Ura.SAAMI.LULE_SAAMI
486,IE.GERMANIC.ENGLISH
490,IE.ROMANCE.LATIN
492,IE.ROMANCE.LATIN
520,An.MALAYO_SUMBAWAN.CHAM_EASTERN
525,IE.GERMANIC.ENGLISH
526,HM.HMONG_MIEN.HMONG_DAW
534,IE.ROMANCE.LATIN
562,Dra.SOUTHERN_DRAVIDIAN.TAMIL
563,IE.INDIC.PAHARI_MAHASU
564,IE.INDIC.NEPALI
565,AA.SEMITIC.CAIRO_ARABIC
567,IE.GERMANIC.ENGLISH
570,IE.GERMANIC.ENGLISH
576,AuA.KATUIC.KUI_THAILAND
577,NC.BANTOID.J15_GANDA
580,IE.INDIC.HINDI
581,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.MENTAWAI
590,ST.CHINESE.MIDDLE_CHINESE
592,Dra.SOUTHERN_DRAVIDIAN.KANNADA
598,ESu.NILOTIC.MAASAI
602,AA.SEMITIC.AMHARIC
604,Man.WESTERN_MANDE.BAMBARA
607,ST.CHINESE.MIDDLE_CHINESE
608,IE.IRANIAN.KURDISH_CENTRAL
623,IE.GERMANIC.ENGLISH
624,IE.IRANIAN.PERSIAN
626,Car.CARIBAN.TIRIYO
629,IE.INDIC.NEPALI
630,Aus.PAMA_NYUNGAN.ARRERNTE_CENTRAL
632,IE.GREEK.GREEK_ANCIENT
633,IE.INDIC.SANSKRIT
645,IE.INDIC.HINDI
649,Dra.SOUTHERN_DRAVIDIAN.TAMIL
654,IE.ROMANCE.LATIN
655,Tup.TUPI_GUARANI.SIRIONO
658,Arc.ARAUCANIAN.MAPUDUNGUN
661,IE.ROMANCE.LATIN
662,Arw.NORTHERN_ARAWAKAN.WAYUU
666,EB.EAST_BOUGAINVILLE.MOTUNA
667,Ain.AINU.KURIL_AINU
674,Aym.AYMARAN.CENTRAL_AYMARA
675,CK.NORTHERN_CHUKOTKO_KAMCHATKAN.CHUKCHEE
676,IE.ROMANCE.LATIN
679,AuA.MUNDA.SANTALI
680,IE.INDIC.GUJARATI
681,AA.SEMITIC.AKKADIAN
682,ST.KUKI_CHIN.NAGA_MARAM
684,Iro.NORTHERN_IROQUOIAN.WENDAT_HURON
685,An.SAMA_BAJAW.SAMAL
688,IE.INDIC.URDU
689,Mas.MASCOIAN.LENGUA
690,IE.INDIC.URDU
691,Fur.FUR.FUR
694,NDe.EYAK.EYAK
710,Sio.SIOUAN.HIDATSA
711,Sep.MIDDLE_SEPIK.KWOMA
714,Dra.SOUTHERN_DRAVIDIAN.TAMIL
719,IE.GERMANIC.ENGLISH
721,AuA.ASLIAN.LANOH
726,IE.INDIC.SANSKRIT
727,An.MALAYO_SUMBAWAN.CHAM_EASTERN
728,IE.GERMANIC.ENGLISH
729,NC.BANTOID.GIKUYU
732,An.OCEANIC.LANGUE_DE_ISLES_MARQUISES
739,An.OCEANIC.NAKANAI
745,An.OCEANIC.TAIOF
749,Kor.KOREAN.KOREAN
750,An.OCEANIC.MEKEO
752,An.MALAYO_SUMBAWAN.CHAM_EASTERN
755,Alt.TURKIC.UYGHUR
759,UA.NUMIC.COMANCHE
763,An.OCEANIC.SOUTH_ISLAND_MAORI
766,ST.BODO_GARO.GARO
770,TK.KAM_TAI.THAI
788,AA.SEMITIC.UGARITIC
794,Sio.SIOUAN.OMAHA_PONCA
834,AuA.VIET_MUONG.VIETNAMESE
841,ST.BODIC.TIBETAN_WRITTEN
842,IE.GERMANIC.ENGLISH
846,ST.CHINESE.MIDDLE_CHINESE
848,AA.SEMITIC.BIBLICAL_HEBREW
849,Iro.NORTHERN_IROQUOIAN.SENECA
850,IE.CELTIC.OLD_IRISH
851,IE.GERMANIC.ENGLISH
852,IE.CELTIC.OLD_IRISH
854,IE.CELTIC.OLD_IRISH
855,AA.SEMITIC.ARABIC_GULF_SPOKEN
857,IE.GERMANIC.ENGLISH
858,IE.ROMANCE.LATIN
