entry_id,circumcision,dress,extra_ritual_group_markers,food_taboos,hair,ornaments,permanent_scarring,tattoos_scarification,violent_external,year_from,region_id,world_region,year_scaled
492,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-800,737,Europe,-1.8200797430288027
494,,,,,,,,,1.0,1800,740,North America,0.5891072699732798
495,,,,,,,,,0.0,1499,741,South America,0.31019754269880795
498,,,,,,,,,1.0,1700,744,North America,0.49644623101166124
499,,,,,,,,,1.0,1700,745,North America,0.49644623101166124
501,,,,,,,,,1.0,1800,747,North America,0.5891072699732798
502,,,,,,,,,1.0,1700,748,North America,0.49644623101166124
510,,,,,,,,,1.0,1830,752,North America,0.6169055816617653
511,,,,,,,,,1.0,1700,753,North America,0.49644623101166124
512,,,,,,,,,1.0,1700,754,North America,0.49644623101166124
513,,,,,,,,,1.0,1750,755,North America,0.5427767504924705
515,,,,,,,,,1.0,1775,757,North America,0.5659420102328752
516,,,,,,,,,1.0,1750,758,North America,0.5427767504924705
520,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1600,762,Southeast Asia,0.4037851920500427
525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951,660,Africa,0.7290254388053238
526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900,766,Southeast Asia,0.6817683089348984
530,,,,,,,,,1.0,1830,769,North America,0.6169055816617653
533,,,,,,,,,1.0,1263,772,Central Eurasia,0.09151749074938814
534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-42,132,Europe,-1.117709067699734
543,,,,,,,,,1.0,1884,780,Oceania-Australia,0.6669425427010394
546,,,,,,,,,1.0,1988,783,Oceania-Australia,0.7633100232211227
550,,,,,,,,,1.0,1841,653,Southeast Asia,0.6270982959475434
553,,,,,,,,,1.0,1788,790,South Asia,0.5779879452978856
557,,,,,,,,,1.0,1878,794,South Asia,0.6613828803633423
562,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1017,480,South Asia,-0.1364286650961935
563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845,797,South Asia,0.6308047375060082
564,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1950,799,South Asia,0.7280988284157076
565,,,,,,,1.0,,0.0,1925,803,Africa,0.704933568675303
567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001,802,Europe,0.7753559582861331
569,,,,,,,,,1.0,1895,805,Central Eurasia,0.6771352569868174
570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1986,806,Southeast Asia,0.7614568024418903
571,,,,,,,,,1.0,1855,807,Central Eurasia,0.64007084140217
572,,,,,,,,,0.0,1890,808,Oceania-Australia,0.6725022050387365
577,,,,,,,0.0,,1.0,1860,812,Africa,0.6447038933502509
578,,,,,,,,,0.0,1875,815,South Asia,0.6586030491944938
580,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1700,817,South Asia,0.49644623101166124
581,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1970,818,Southeast Asia,0.7466310362080314
588,,,,,,,,,1.0,1905,822,Africa,0.6864013608829793
589,,,,,,,,,0.0,1915,823,South America,0.6956674647791411
590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670,824,East Asia,-0.4579624702930099
591,,,,,,,,,1.0,1925,825,East Asia,0.704933568675303
592,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1200,826,South Asia,0.03314103620356845
594,,,,,,,,,0.0,1925,828,Africa,0.704933568675303
595,,,,,,,,,0.0,1804,829,Oceania-Australia,0.5928137115317446
598,,,,,,,1.0,,1.0,1875,833,Africa,0.6586030491944938
599,,,,,,,,,0.0,1920,834,South Asia,0.700300516727222
600,,,,,,,,,1.0,1900,835,Africa,0.6817683089348984
602,1.0,,1.0,,,1.0,,1.0,1.0,1930,837,Africa,0.7095666206233839
604,1.0,,1.0,,,,,,0.0,1890,838,Africa,0.6725022050387365
605,,,,,,,,,0.0,1940,839,Southeast Asia,0.7188327245195458
607,,,,,,,0.0,,0.0,-400,467,East Asia,-1.4494355871823286
608,1.0,,1.0,1.0,,,,,1.0,1926,841,Southwest Asia,0.7058601790649192
609,,,,,,,,,0.0,1915,842,Africa,0.6956674647791411
610,,,,,,,,,1.0,1900,843,Africa,0.6817683089348984
611,,,,,,,,,1.0,1930,844,Southeast Asia,0.7095666206233839
612,,,,,,,,,0.0,1880,845,Oceania-Australia,0.6632361011425747
613,,,,,,,,,1.0,1800,846,Oceania-Australia,0.5891072699732798
614,,,,,,,,,0.0,1925,847,Africa,0.704933568675303
616,,,,,,,,,1.0,1933,849,Southeast Asia,0.7123464517922324
618,,,,,,,,,1.0,1860,851,North America,0.6447038933502509
619,,,,,,,,,1.0,1865,852,Central Eurasia,0.6493369452983319
620,,,,,,,,,0.0,1900,853,North America,0.6817683089348984
623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1893,1131,North America,0.6752820362075851
624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1550,857,South Asia,0.3574546725692334
625,,,,,,,,,0.0,1890,858,North America,0.6725022050387365
626,,,,,,,0.0,,0.0,1907,859,South America,0.6882545816622117
627,,,,,,,,,0.0,1905,860,Europe,0.6864013608829793
629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,861,South Asia,0.03314103620356845
630,1.0,,1.0,,,,0.0,,1.0,1886,862,Oceania-Australia,0.6687957634802718
631,,,,,,,,,0.0,1879,863,South America,0.6623094907529584
632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-650,864,Europe,-1.681088184586375
633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238,865,South Asia,0.06835223100898351
635,,,,,,,,,1.0,1890,866,Southeast Asia,0.6725022050387365
637,,,,,,,,,1.0,1900,868,South America,0.6817683089348984
645,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1100,873,South Asia,-0.05952000275805011
647,,,,,,,,,0.0,1893,876,North America,0.6752820362075851
649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,480,South Asia,-0.43016415860452434
650,,,,,,,,,0.0,1918,878,Oceania-Australia,0.6984472959479897
651,,,,,,,,,0.0,1930,879,Southeast Asia,0.7095666206233839
652,,,,,,,,,0.0,1904,880,Oceania-Australia,0.6854747504933631
654,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1198,493,Europe,0.03128781542433608
655,,,,,,,1.0,,0.0,1917,881,South America,0.6975206855583735
657,,,,,,,,,0.0,1912,883,South America,0.6928876336102926
658,,,,,,,0.0,,0.0,1925,884,South America,0.704933568675303
660,,,,,,,,,0.0,1941,886,Southeast Asia,0.719759334909162
661,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1113,887,Europe,-0.0474740676930397
662,,,,,,,0.0,,0.0,1922,888,South America,0.7021537375064545
666,,,,,,,0.0,,1.0,1914,890,Oceania-Australia,0.6947408543895249
667,,,1.0,,,1.0,,1.0,0.0,1855,891,East Asia,0.64007084140217
669,,,,,,,,,0.0,1900,893,Oceania-Australia,0.6817683089348984
673,,,,,,,,,1.0,1842,897,North America,0.6280249063371596
674,,,,,,,0.0,,0.0,1915,898,South America,0.6956674647791411
675,,,,,,,0.0,,1.0,1885,899,Europe,0.6678691530906555
676,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1198,900,Europe,0.03128781542433608
677,,,,,,,,,0.0,1885,901,Oceania-Australia,0.6678691530906555
679,,,,,,,0.0,,0.0,1915,903,South Asia,0.6956674647791411
680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850,677,South Asia,0.6354377894540891
681,,,,,,,0.0,,1.0,-2350,904,Southwest Asia,-3.2563258469338905
682,,,,,,,0.0,,1.0,1905,910,South Asia,0.6864013608829793
684,,,,,,,0.0,,1.0,1615,907,North America,0.4176843478942855
685,,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1940,908,Southeast Asia,0.7188327245195458
688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1866,496,South Asia,0.650263555687948
689,,,,,,,0.0,,1.0,1869,911,South America,0.6530433868567966
690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880,496,South Asia,0.6632361011425747
691,,,,,,,0.0,,1.0,1870,912,Africa,0.6539699972464128
694,,,,,,,0.0,,1.0,1880,915,North America,0.6632361011425747
710,,,,,,,0.0,,1.0,1816,923,North America,0.6039330362071388
711,,,1.0,,,,,1.0,1.0,1912,924,Oceania-Australia,0.6928876336102926
712,,,,,,,,,0.0,1880,925,North America,0.6632361011425747
713,,,,,,,,,0.0,1910,926,North America,0.6910344128310603
714,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,550,480,South Asia,-0.5691557170469522
717,,,,,,,,,0.0,1910,927,Africa,0.6910344128310603
719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845,342,North America,0.6308047375060082
721,,,,,,,0.0,,0.0,1910,929,Southeast Asia,0.6910344128310603
722,,,,,,,,,1.0,1835,930,North America,0.6215386336098463
723,,,,,,,,,1.0,1910,931,South America,0.6910344128310603
724,,,,,,,,,0.0,1909,932,South America,0.690107802441444
726,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-700,934,South Asia,-1.7274187040671842
727,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1160,935,Southeast Asia,-0.003923379381078974
728,,,,,,,0.0,,0.0,1928,936,Oceania-Australia,0.7077133998441516
729,1.0,,1.0,,,1.0,0.0,,1.0,1895,937,Africa,0.6771352569868174
732,,,1.0,,,,,1.0,1.0,1800,938,Oceania-Australia,0.5891072699732798
733,,,,,,,,,0.0,1870,939,North America,0.6539699972464128
737,,,,,,,,,1.0,1855,942,Africa,0.64007084140217
739,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1885,945,Oceania-Australia,0.6678691530906555
745,0.0,,1.0,0.0,,1.0,1.0,1.0,1.0,1860,950,Oceania-Australia,0.6447038933502509
749,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1800,717,East Asia,0.5891072699732798
750,,,,,,,1.0,,1.0,1850,954,Oceania-Australia,0.6354377894540891
752,,,,,,,0.0,,1.0,1470,955,Southeast Asia,0.28332584139993855
755,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1850,960,Central Eurasia,0.6354377894540891
759,,,,,,,0.0,,1.0,1855,964,North America,0.64007084140217
763,,,,,,,0.0,,0.0,1810,968,Oceania-Australia,0.5983733738694417
764,,,,,,,,,1.0,1900,969,South America,0.6817683089348984
766,,,,,,,0.0,,0.0,1930,971,South Asia,0.7095666206233839
770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1920,348,Southeast Asia,0.700300516727222
788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1500,984,Southwest Asia,-2.468707015760133
794,0.0,,1.0,1.0,1.0,,0.0,,1.0,1840,986,North America,0.6261716855579272
834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982,1003,Southeast Asia,0.7577503608834256
841,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1073,1010,South Asia,-0.08453848327768712
842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730,1011,North America,0.5242445427001469
846,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,645,1015,East Asia,-0.4811277300334146
848,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-200,485,Southwest Asia,-1.2641135092590914
849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750,1016,North America,0.5427767504924705
850,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,-600,1017,Europe,-1.6347576651055655
851,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1899,1018,North America,0.6808416985452822
852,,,,,,,1.0,,1.0,-500,1019,Europe,-1.542096626143947
853,,,,,,,,,1.0,-500,1020,Europe,-1.542096626143947
854,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,-400,554,Europe,-1.4494355871823286
857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738,1097,Africa,0.5316574258170763
858,0.0,,1.0,1.0,0.0,0.0,,,1.0,165,1024,Europe,-0.9259007170491836
859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,6,Europe,-0.9536990287376692
862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1907,1027,South Asia,0.6882545816622117
863,0.0,,1.0,1.0,,,0.0,,0.0,-550,132,Europe,-1.5884271456247563
867,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1200,96,South Asia,0.03314103620356845
869,0.0,1.0,1.0,1.0,,1.0,,1.0,1.0,855,1031,East Asia,-0.28653954821401556
870,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1990,1032,Central Eurasia,0.7651632440003551
