entry_id,violent_external,extra_ritual_group_markers,year_scaled,world_region,tip_name
834,0,0,0.8021084630893165,Southeast Asia,AuA.VIET_MUONG.VIETNAMESE
841,0,1,-0.0418724591768072,South Asia,ST.BODIC.RANG_PAS
842,0,0,0.5681335539462327,North America,IE.GERMANIC.ENGLISH
846,0,1,-0.4392584159753782,East Asia,ST.CHINESE.MIDDLE_CHINESE
848,0,1,-1.223817139094052,Southwest Asia,AA.SEMITIC.ACHAEMENID_ARAMAIC
849,0,0,0.5867029911798107,North America,Iro.NORTHERN_IROQUOIAN.SENECA
850,1,1,-1.5952058837656138,Europe,
851,1,1,0.7250452985699675,North America,IE.GERMANIC.ENGLISH
854,1,1,-1.4095115114298329,Europe,IE.CELTIC.OLD_IRISH
857,0,0,0.5755613288396639,Africa,IE.ROMANCE.SPANISH
858,1,1,-0.8849249095812521,Europe,AA.SEMITIC.CLASSICAL_SYRIAC
859,0,0,-0.9127790654316192,Europe,AA.SEMITIC.ACHAEMENID_ARAMAIC
862,0,0,0.7324730734633987,South Asia,IE.GERMANIC.ENGLISH
863,0,1,-1.5487822906816684,Europe,AA.SEMITIC.ACHAEMENID_ARAMAIC
867,0,1,0.0760434672564135,South Asia,ST.BODIC.RANG_PAS
869,1,1,-0.2442793250228083,East Asia,ST.CHINESE.MIDDLE_CHINESE
870,0,1,0.8095362379827478,Central Eurasia,Alt.MONGOLIC.MONGOLIAN
871,0,0,0.6776932336243434,Europe,IE.GERMANIC.ENGLISH
877,0,0,0.8086077661210689,Southeast Asia,TK.KAM_TAI.THAI
879,0,0,0.6888348959644902,Africa,IE.GERMANIC.ENGLISH
880,1,1,0.6981196145812792,Southwest Asia,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
882,0,0,-1.455935104513778,Europe,AA.SEMITIC.ACHAEMENID_ARAMAIC
883,0,0,0.7714688916539126,Central Eurasia,ST.CHINESE.MANDARIN
884,1,0,0.7324730734633987,Africa,IE.GERMANIC.ENGLISH
885,0,1,0.7816820821323807,Africa,NC.KWA.FONGBE
886,0,1,0.8095362379827478,Europe,IE.GERMANIC.ENGLISH
887,0,1,0.8095362379827478,Central Eurasia,Alt.MONGOLIC.MONGOLIAN
891,0,1,0.777968194685665,South America,IE.ROMANCE.SPANISH
892,0,0,0.7816820821323807,North America,IE.GERMANIC.ENGLISH
896,0,0,-0.295345277415148,East Asia,Jap.JAPANESE.JAPANESE
897,0,1,0.7519709825586557,East Asia,Kor.KOREAN.KOREAN
900,1,1,-1.1773935460101068,Southwest Asia,AA.SEMITIC.ACHAEMENID_ARAMAIC
906,0,0,0.7844674977174173,Europe,IE.GERMANIC.ENGLISH
910,0,0,0.7891098570258118,North America,IE.ROMANCE.PORTUGUESE
914,0,1,0.12989483523379,Africa,IE.ROMANCE.SPANISH
919,0,0,0.8141785972911423,Europe,IE.SLAVIC.CROATIAN
921,0,1,0.5402793980958656,South Asia,IE.INDIC.HINDI
924,1,1,0.6823355929327379,Africa,AA.SEMITIC.STANDARD_ARABIC
927,1,1,-1.0381227667582713,Southwest Asia,AA.SEMITIC.ACHAEMENID_ARAMAIC
928,0,0,0.6888348959644902,North America,Sio.SIOUAN.LAKOTA
931,1,0,0.4288627746943971,Europe,IE.GERMANIC.ENGLISH
933,0,0,-0.9044228186765092,Europe,AA.SEMITIC.ACHAEMENID_ARAMAIC
934,1,1,0.7361869609101144,Central Eurasia,Alt.MONGOLIC.MONGOLIAN
935,1,0,0.7352584890484354,Africa,NC.DEFOID.YORUBA
938,1,0,-2.523677745444518,Southwest Asia,AA.SEMITIC.UGARITIC
940,1,0,-1.0669053944703173,Europe,IE.ROMANCE.LATIN
941,0,1,0.4474322119279751,East Asia,ST.CHINESE.MIDDLE_CHINESE
942,0,0,0.6479821340506184,Africa,IE.ROMANCE.PORTUGUESE
943,1,0,0.5885599349031686,North America,EA.ESKIMO.INUKTITUT_EASTERN_CANADIAN
944,1,0,0.4660016491615532,Europe,IE.SLAVIC.UKRAINIAN
946,1,0,-0.3881924635830384,South Asia,ST.BODIC.RANG_PAS
949,0,0,0.7844674977174173,North America,IE.GERMANIC.ENGLISH
950,0,0,0.4957127487352782,Africa,IE.ROMANCE.SPANISH
952,0,1,0.8002515193659587,Southwest Asia,AA.SEMITIC.AMHARIC
953,0,0,0.7956091600575642,South Asia,IE.INDIC.URDU
957,0,0,-1.7809002561013945,Europe,IE.GREEK.GREEK_ANCIENT
958,1,0,0.3917239002272409,Europe,IE.ROMANCE.LATIN
960,0,0,-0.1096509050793672,South Asia,ST.BODIC.RANG_PAS
961,0,0,0.7120466925064628,Europe,IE.ROMANCE.ROMANIAN
962,1,1,0.2617378395921944,East Asia,ST.BODIC.MAQU_TIBETAN
963,1,1,0.0008372464604223,Europe,IE.ROMANCE.LATIN
966,1,1,0.1856031469345242,Central Eurasia,Alt.TURKIC.TURKMEN
967,0,0,0.6563383808057286,Europe,IE.GERMANIC.ENGLISH
969,0,0,0.7176175236765362,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL
971,1,1,-0.5738868359188193,South Asia,IE.INDIC.SANSKRIT
972,1,0,-0.6379513943746636,Southwest Asia,AA.SEMITIC.CLASSICAL_SYRIAC
973,1,1,0.6749078180393067,South Asia,IE.INDIC.SADRI
974,1,0,0.0797573547031291,Southwest Asia,IE.GREEK.GREEK_ANCIENT
975,0,0,0.8002515193659587,North America,IE.GERMANIC.ENGLISH
976,0,0,0.0639733330545878,South Asia,IE.INDIC.ASSAMESE
978,0,0,0.3545850257600847,Southeast Asia,IE.ROMANCE.LATIN
980,0,0,0.0528316707144409,East Asia,Jap.JAPANESE.JAPANESE
982,1,1,-1.5014302257360443,Southwest Asia,IE.GREEK.GREEK_ANCIENT
983,0,0,-0.4810396497509288,South Asia,ST.BODIC.KYIRONG
984,0,0,0.3731544629936628,Europe,IE.ROMANCE.FRENCH
985,0,0,-0.0093759440180456,Europe,IE.ROMANCE.LATIN
986,0,0,-0.8988519875064357,Europe,IE.ROMANCE.LATIN
987,0,0,0.4474322119279751,South Asia,IE.INDIC.GUJARATI
988,0,0,0.6628376838374809,North America,IE.GERMANIC.ENGLISH
989,0,0,0.7519709825586557,Europe,IE.ROMANCE.FRENCH
991,0,0,0.7668265323455181,North America,IE.GERMANIC.ENGLISH
993,1,0,-1.699194732273651,Europe,IE.ROMANCE.LATIN
994,1,1,-0.731727052404233,Africa,AA.SEMITIC.CLASSICAL_SYRIAC
997,1,0,-3.777114758711038,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1004,1,0,-1.223817139094052,Europe,AA.SEMITIC.BIBLICAL_HEBREW
1006,1,0,-3.517142637440945,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1011,1,1,-1.7809002561013945,Southwest Asia,AA.SEMITIC.BIBLICAL_HEBREW
1013,1,1,0.3638697443768738,South Asia,IE.ROMANCE.PORTUGUESE
1028,1,1,-0.0168037189114768,Europe,AA.SEMITIC.BIBLICAL_HEBREW
1037,1,1,-2.0594418146050657,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1038,0,1,0.4882849738418469,East Asia,ST.CHINESE.MIDDLE_CHINESE
