entry_id,violent_external,hair,year_scaled,world_region,tip_name,ID,Glottocode
958,1,0,0.3917239002272409,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
960,0,0,-0.1096509050793672,South Asia,ST.BODIC.TIBETAN_LHASA,TIBETAN_LHASA,tibe1272
961,0,0,0.7120466925064628,Europe,IE.ROMANCE.ROMANIAN,ROMANIAN,roma1327
962,1,1,0.2617378395921944,East Asia,ST.BODIC.MAQU_TIBETAN,MAQU_TIBETAN,amdo1237
963,1,1,0.0008372464604223,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
966,1,1,0.1856031469345242,Central Eurasia,Alt.TURKIC.TURKMEN_2,TURKMEN_2,turk1304
967,0,0,0.6563383808057286,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
969,0,0,0.7176175236765362,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL,TAMIL,tami1289
971,1,0,-0.5738868359188193,South Asia,IE.INDIC.SANSKRIT,SANSKRIT,sans1269
972,1,0,-0.6379513943746636,Southwest Asia,AA.SEMITIC.CLASSICAL_SYRIAC,CLASSICAL_SYRIAC,clas1252
973,1,1,0.6749078180393067,South Asia,IE.INDIC.SADRI,SADRI,sadr1248
974,1,0,0.0797573547031291,Southwest Asia,Aus.PAMA_NYUNGAN.DJADJALA,DJADJALA,
975,0,0,0.8002515193659587,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
976,0,0,0.0639733330545878,South Asia,IE.INDIC.ASSAMESE,ASSAMESE,assa1263
978,0,0,0.3545850257600847,Southeast Asia,IE.ROMANCE.LATIN,LATIN,lati1261
980,0,0,0.0528316707144409,East Asia,Jap.JAPANESE.JAPANESE_KYOTO,JAPANESE_KYOTO,nucl1643
983,0,0,-0.4810396497509288,South Asia,ST.BODIC.KYIRONG,KYIRONG,kyer1238
984,0,0,0.3731544629936628,Europe,IE.ROMANCE.FRENCH,FRENCH,stan1290
985,0,0,-0.0093759440180456,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
986,0,0,-0.8988519875064357,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
987,0,0,0.4474322119279751,South Asia,IE.INDIC.GUJARATI,GUJARATI,guja1252
988,0,0,0.6628376838374809,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
989,0,0,0.7519709825586557,Europe,IE.ROMANCE.FRENCH,FRENCH,stan1290
991,0,0,0.7668265323455181,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
993,1,0,-1.699194732273651,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
994,1,0,-0.731727052404233,Africa,AA.SEMITIC.CLASSICAL_SYRIAC,CLASSICAL_SYRIAC,clas1252
1004,1,0,-1.223817139094052,Europe,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
1028,1,0,-0.0168037189114768,Europe,AA.SEMITIC.BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244
1038,0,1,0.4882849738418469,East Asia,Pay.PAYAGUA.PAYAGUA,PAYAGUA,
1041,0,0,0.4474322119279751,East Asia,Kor.KOREAN.KOREAN,KOREAN,kore1280
1043,1,0,0.3545850257600847,Southeast Asia,An.MALAYO_SUMBAWAN.ACEH,ACEH,achi1257
1071,0,0,0.8197494284612157,Africa,IE.ROMANCE.PORTUGUESE,PORTUGUESE,port1283
1076,1,1,0.410293337460819,South Asia,IE.ROMANCE.LATIN,LATIN,lati1261
1087,1,0,-0.1384335327914132,Europe,IE.SLAVIC.BULGARIAN,BULGARIAN,bulg1262
1127,0,0,0.7166890518148573,East Asia,Kor.KOREAN.KOREAN,KOREAN,kore1280
1129,1,0,-1.688053069933504,Europe,UA.AZTECAN.NAHUATL_CHINANCAHUATL_ZACUALTIPAN,NAHUATL_CHINANCAHUATL_ZACUALTIPAN,
1140,0,0,-0.8338589571889123,East Asia,Tot.TOTONACAN.TOTONAC_OZELONACAXTLA,TOTONAC_OZELONACAXTLA,
1162,0,0,-0.6667340220867096,East Asia,Tup.TUPI_GUARANI.GUARANI_ANTIGO,GUARANI_ANTIGO,
1178,0,0,0.8160355410145,South America,IE.ROMANCE.FRENCH,FRENCH,stan1290
1180,1,0,0.4474322119279751,Southeast Asia,An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.BATAK_MANDAILING,BATAK_MANDAILING,bata1291
1192,1,1,0.7677550042071971,Southeast Asia,An.BARITO.SAMIHIM,SAMIHIM,maan1238
1229,0,0,0.7723973635155916,Central Eurasia,ST.CHINESE.MANDARIN_2,MANDARIN_2,mand1415
1231,0,1,-0.0168037189114768,East Asia,ST.CHINESE.MANDARIN_2,MANDARIN_2,mand1415
