parameter,mean_pct,hdi_2.5%_pct,hdi_97.5%_pct
Intercept,9.57829082638482,2.138601588281499,18.284387606766504
Intercept + Slope,23.26963310674393,4.509929802853756,42.41457573013888
Slope,13.691342280359116,-0.6760158562183065,29.073406414199873
intercept_0,18.40721068605408,9.264179342154529,27.735447522346007
intercept_1,9.921321431519205,0.28717260290101243,22.912758907393133
intercept_2,6.046458490380332,0.666988465044912,12.809463115123195
intercept_3,3.7755213171957513,0.38103715553248485,8.4349118071077
intercept_4,5.019653315045785,0.1227137266026639,11.845961111481069
intercept_5,21.645818895305695,1.166089579663014,55.150060180263374
intercept_6,6.969816228811531,0.0024377839229426934,20.076970218330118
intercept_7,6.733297812021888,1.0314016648768847,13.888376120974158
intercept_8,14.755061719153343,1.7594947328277957,31.604791305521207
intercept_9,28.014470726423795,10.698144833628978,47.18927034628303
slope_0,19.929700531247576,3.2309427160423887,35.566390509639774
slope_1,17.942711240609732,-2.4013128496137437,44.19835192784402
slope_2,11.051235480553053,-3.4338323566158104,31.030997199267645
slope_3,4.205289561935275,-3.423731627091176,12.111623778348804
slope_4,5.643115552701442,-7.071356203891938,19.91010567124176
slope_5,17.35530098154924,-14.397431170484406,47.646653569205085
slope_6,9.841934634202108,-6.292782188259775,36.12507492931219
slope_7,8.575018068448333,-5.375020166677608,24.660136913741677
slope_8,27.755093484008945,4.6720675430808285,53.9022819570483
slope_9,28.02119444110694,7.024288488623455,50.840181906916854
intercept + slope_0,38.33691121730157,23.72339761081175,53.4252248205075
intercept + slope_1,27.864032672128953,4.452959355204522,56.83978833715585
intercept + slope_2,17.09769397093332,0.8885638406969713,37.75564689375761
intercept + slope_3,7.980810879131025,1.220639552050193,15.881709868100627
intercept + slope_4,10.662768867747229,0.00016028366501587505,26.000686087543635
intercept + slope_5,39.00111987685498,5.241783844086504,76.5423087565682
intercept + slope_6,16.811750863013614,0.004635955454536728,47.502085402945426
intercept + slope_7,15.3083158804702,1.2709873835813132,31.688770581819742
intercept + slope_8,42.51015520316216,17.042791668405478,66.46363074502005
intercept + slope_9,56.03566516753069,37.16754250022892,74.84548111096758
