parameter,mean_pct,hdi_2.5%_pct,hdi_97.5%_pct
Intercept,32.7406396814161,24.487700739948455,41.75718137093957
Intercept + Slope,63.4690578112254,49.214544160492615,79.16560003546047
Slope,30.728418129809295,14.889190086374882,46.53311540498541
intercept_0,29.45673060773875,20.47826452521447,38.46122611242352
intercept_1,32.461730043746336,18.66156219092306,45.98643136116529
intercept_2,34.68093726048302,24.52316049721582,47.38596535128363
intercept_3,29.936329626370213,19.42895558902152,39.63789684673302
intercept_4,29.895691803766006,18.16973030061653,40.56408808040194
intercept_5,35.735137857274474,21.013000574907874,55.853402675905414
intercept_6,36.067390846698885,22.529703684181747,56.096630704186765
intercept_7,34.59699095693103,24.063907402659385,46.24395581662807
intercept_8,33.44840024378414,21.14634206764265,48.054660712831584
intercept_9,32.54976751672529,21.04511165143923,44.66829612661335
slope_0,23.41560172514884,7.971655043374504,39.848645733117145
slope_1,28.79975529431047,3.8160422272148935,53.32942637500696
slope_2,33.43304587662928,11.080753879737628,58.47460300774428
slope_3,15.940507287495878,-2.947758640171802,34.25981854999497
slope_4,31.48883561513964,10.66518375227525,54.28820709725598
slope_5,32.610274203007755,10.454579392405812,58.40714296343274
slope_6,35.90914782093112,12.985015067731396,62.40652419573579
slope_7,30.157069109074236,9.272035308742694,51.44032925878349
slope_8,36.306961400807346,15.378898190886702,58.47852816910349
slope_9,28.352958125997734,11.222886639431842,46.60738528222584
intercept + slope_0,52.87233233288745,38.14336023239352,66.66383192949723
intercept + slope_1,61.26148533805669,36.41323345413289,85.5577387231133
intercept + slope_2,68.1139831371122,46.49568883637048,92.41813055584561
intercept + slope_3,45.8768369138661,27.50993322245646,60.91928457558298
intercept + slope_4,61.38452741890558,39.794119689024214,83.62516003481375
intercept + slope_5,68.34541206028231,46.37028579834298,93.60067436269597
intercept + slope_6,71.9765386676301,48.37524128112364,96.20050883490278
intercept + slope_7,64.7540600660053,44.83232580650836,85.53524226400911
intercept + slope_8,69.75536164459193,49.53396790940911,89.98506489301393
intercept + slope_9,60.90272564272301,44.44706554825691,76.74580754545408
