entry_id,entry_name,entrytag_name,entrytag_level,entrytag_path,drh_link,data_source,reason,ID,Glottocode,
1154,The Cult of the Fox,Classical-Middle-Modern Sinitic,,,https://religiondatabase.org/browse/1154,Database of Religious History (DRH) [default],language,,,
1667,Medérsiens,French,,,https://religiondatabase.org/browse/1667,Database of Religious History (DRH) [default],language,,,
1291,Mañjuśrī Devotionalism,Classical-Middle-Modern Sinitic,,,https://religiondatabase.org/browse/1291,Database of Religious History (DRH) [default],language,,,
1426,Early Missionary Christianity in China,Classical-Middle-Modern Sinitic,,,https://religiondatabase.org/browse/1426,Database of Religious History (DRH) [default],language,,,
1938,Bahai religion,Iranian ,,,https://religiondatabase.org/browse/1938,Database of Religious History (DRH) [default],language,,,
1044,Han Imperial Cult under Emperor Wu,Classical-Middle-Modern Sinitic,,,https://religiondatabase.org/browse/1044,Database of Religious History (DRH) [default],language,,,
1172,Twofold Mystery (Chongxuan 重玄),Classical-Middle-Modern Sinitic,,,https://religiondatabase.org/browse/1172,Database of Religious History (DRH) [default],language,,,
1940,"The Holy Apostles Community, Ori-Oke Iwamimo",Yoruba,,,https://religiondatabase.org/browse/1940,Database of Religious History (DRH) [default],language,,,
1943,Cult of Gauchito Gil,Spanish,,,https://religiondatabase.org/browse/1943,Database of Religious History (DRH) [default],language,,,
1433,Novatians,Latin,,,https://religiondatabase.org/browse/1433,Database of Religious History (DRH) [default],language,,,
1689,The Isma'ilis in the Ottoman Empire,Arabic,,,https://religiondatabase.org/browse/1689,Database of Religious History (DRH) [default],language,,,
1690,Christianity in Byzantium: between the end of Iconoclasm and the Schism,Greek,,,https://religiondatabase.org/browse/1690,Database of Religious History (DRH) [default],language,,,
1436,The Monastic School of Gaza,Semitic,,,https://religiondatabase.org/browse/1436,Database of Religious History (DRH) [default],language,,,
1820,"Cherubim and Seraphim Church Unification, Campus Fellowship",Yoruba; English,,,https://religiondatabase.org/browse/1820,Database of Religious History (DRH) [default],language,,,
1694,Christianity in Byzantium: Between the Schism and the Fourth Crusade,Greek,,,https://religiondatabase.org/browse/1694,Database of Religious History (DRH) [default],language,,,
1311,Jehovah's Witnesses,English,,,https://religiondatabase.org/browse/1311,Database of Religious History (DRH) [default],language,,,
1441,Mexica (Aztec) Religion,Aztec,,,https://religiondatabase.org/browse/1441,Database of Religious History (DRH) [default],language,,,
1697,Stylite Monks,Greek,,,https://religiondatabase.org/browse/1697,Database of Religious History (DRH) [default],language,,,
1060,The Taizhou Movement,Classical-Middle-Modern Sinitic,,,https://religiondatabase.org/browse/1060,Database of Religious History (DRH) [default],language,,,
1701,The Premonstratensian Order in the Middle Ages,French,,,https://religiondatabase.org/browse/1701,Database of Religious History (DRH) [default],language,,,
1829,Cherubim and Seraphim Unification Church of Nigeria (C&SUCN),Yoruba; English,,,https://religiondatabase.org/browse/1829,Database of Religious History (DRH) [default],language,,,
1961,"Grace Covenant Centre, Ado-Ekiti",Yoruba,,,https://religiondatabase.org/browse/1961,Database of Religious History (DRH) [default],language,,,
1835,"The Cherubim and Seraphim Church of Zion, Ugbonla",Yoruba; English,,,https://religiondatabase.org/browse/1835,Database of Religious History (DRH) [default],language,,,
1708,الإباضية  Al-Ibadia,Arabic,,,https://religiondatabase.org/browse/1708,Database of Religious History (DRH) [default],language,,,
1454,Hesychastic Controversy,Greek,,,https://religiondatabase.org/browse/1454,Database of Religious History (DRH) [default],language,,,
562,Medieval Śrīvaiṣṇavism,Tamil,,,https://religiondatabase.org/browse/562,Database of Religious History (DRH) [default],language,,,
1845,Benedictine Order in Denmark,Danish,,,https://religiondatabase.org/browse/1845,Database of Religious History (DRH) [default],language,,,
