label,mean,sd,hdi_2.5%,hdi_97.5%,mean_pct,hdi_2.5%_pct,hdi_97.5%_pct,error_neg,error_pos
Africa,-3.272,0.463,-4.192,-2.396,3.6544345254307213,1.4890930927610937,8.3478225494075,2.165341432669628,4.6933880239767785
Americas,-1.693,0.332,-2.386,-1.094,15.538171823489453,8.424651529962638,25.086580092135218,7.113520293526815,9.548408268645765
Asia,-1.841,0.212,-2.251,-1.432,13.693306725925861,9.526324185205432,19.278725232998756,4.166982540720429,5.585418507072895
Europe,-2.908,0.396,-3.675,-2.159,5.175950843628656,2.472269978037562,10.349319703146975,2.703680865591094,5.173368859518319
Oceania-Australia,-0.25,0.696,-1.657,1.107,43.78234991142019,16.016512242097587,75.1569395764015,27.765837669322604,31.374589664981308
