entry_id,entry_name,answer_value,world_region_simple
1777,الطريقة التّيجانية بالبلاد التونسية,1,Africa
1776,الطريقة القادرية في البلاد التونسية,1,Africa
1774,إباضية جزيرة جربة,1,Africa
1759,الطريقة الشاذلية = Attarika Achadoulia,1,Africa
1741,Methodism in Zimbabwe or Methodist Church in Zimbabwe,1,Africa
1740,The Canterbury School of Theodore of Tarsus and Hadrian the North African,1,Europe
1737,الإمامية Al-Imamia,1,Asia
1734,Cupisnique Culture Religion,1,Americas
1714,Syncretic Polytheism in Curious Pastimes LARP,1,Europe
1709,Almohads (al-Muwaḥḥidūn),1,Africa
1708,الإباضية  Al-Ibadia,1,Asia
1706,Virú State Religion,1,Americas
1703,Arsenites,1,Europe
1701,The Premonstratensian Order in the Middle Ages,1,Europe
1697,Stylite Monks,1,Europe
1694,Christianity in Byzantium: Between the Schism and the Fourth Crusade,1,Europe
1690,Christianity in Byzantium: between the end of Iconoclasm and the Schism,1,Europe
1689,The Isma'ilis in the Ottoman Empire,1,Asia
1688,Arianism,1,Europe
1677,Royal Hittite Religion,1,Asia
1667,Medérsiens,1,Africa
1654,Le Parti du Mouvement de La Nahda حزب حركة النهضة,1,Africa
1653,Visigothic Homoian Christianity,1,Europe
1636,The second phase of the Iconoclastic Controversy,0,Europe
1627,Mount Putuo 普陀山,1,Americas
1626,The Cult of Maritime Hera,1,Europe
1624,Neo-Assyrian Healers (āšipu/mašmaššu-exorcists),1,Asia
1621,"Saint Spyridon,Kardamyli, southern Greece, postbyzantine church",1,Europe
1619,"Saint Nicholas ""Maroulenas"", Kastania, southern Greece, byzantine church",1,Europe
1615,Teuchitlan Tradition,1,Americas
1607,Zaydism and the state in Yemen,1,Asia
1582,Cult of Bona Dea,1,Europe
1574,Household religion at Ur,0,Asia
1570,Tamil Muslims,1,Asia
1556,Sundexioi (Mithras-worshippers),1,Europe
1555,Al-Ahbash الأحباش,1,Asia
1544,Ukrainian Greek Catholic Church,1,Europe
1542,Umbanda,1,Americas
1535,الجمعية الخيرية الإسلامية بمدينة سوق الأربعاء,1,Africa
1529,Byzantine Iconoclasts (726-787 CE),1,Europe
1522,Tijaniyya Tariqa الطريقة التجانية,1,Africa
1521,Order of the Hermits of St Augustine (Augustinian friars),1,Europe
1517,Tunisian Women's Associations,1,Africa
1511,Sokoto,1,Africa
1505,Sample Religious Group Entry,1,Asia
1495,Secular Buddhists,1,Europe
1492,Nambicuara,1,Americas
1488,Botocudo,1,Americas
1474,Amahuaca,1,Americas
1468,Eastern Christianity From Nicaea to Chalcedon,1,Europe
1461,Saami,1,Europe
1458,Mbuti,1,Africa
1456,Religion in the Middle Bronze Age / Canaan,1,Asia
1454,Hesychastic Controversy,0,Europe
1451,Religion in the Early Bronze Age / Canaan,1,Asia
1450,Tehuelche,1,Americas
1441,Mexica (Aztec) Religion,1,Americas
1436,The Monastic School of Gaza,1,Asia
1434,Kuna,1,Americas
1433,Novatians,1,Europe
1426,Early Missionary Christianity in China,1,Asia
1420,Creek,1,Americas
1419,Ancient Egyptian Religion in the Early 18th Dynasty,1,Africa
1415,Anomeans,1,Europe
1412,Tenrikyo,1,Europe
1409,Formative Olmec,1,Americas
1404,Religion in Nabataea,1,Asia
1400,The Buddhist Nuns of 4th - 6th century China,1,Asia
1399,Religion in the Mittani Empire,1,Asia
1397,The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult,1,Americas
1396,Ptolemaic Egypt - Egyptian Religion,1,Africa
1392,Messalians,0,Asia
1390,Eastern Apache,1,Americas
1386,Liumen (Liu School),1,Asia
1376,African Initiated Churches,1,Africa
1374,The Reformed Church (Early Orthodoxy),1,Europe
1371,Twelver Shi'ism in post-revolutionary Iran,1,Asia
1370,Teda,1,Africa
1369,Astronomers in Babylon,1,Asia
1357,Encratites,1,Asia
1352,Śākadvīpīya Brāhmaṇas,1,Asia
1349,The Dingxiang Wang Cult,1,Europe
1348,Disability-focused Christianity for Palestinians,1,Asia
1344,Tibetan Nonsectarianism (ris med),1,Asia
1341,Muslim Students Association of the United States and Canada,1,Americas
1337,Tell Afis (Syria),1,Asia
1335,Congregation of the Oratory,1,Europe
1334,No-debt Movement in US Evangelicalism,1,Americas
1333,Cult of Thecla,1,Europe
1329,Pre-Pottery Neolithic in the Near East,1,Asia
1323,Luguru,1,Africa
1322,Pagans under the Emperor Julian,1,Europe
1321,Mourides (Muridiyya),1,Africa
1319,Reginistas,1,Americas
1312,Bishnoi,1,Asia
1311,Jehovah's Witnesses,1,Americas
1309,Circumcellions,1,Africa
1308,Jews and Jewish-Sympathizers in South Arabia,1,Asia
1307,Southern Baptists,1,Americas
1306,Philistine Religion,1,Asia
1304,Peyote Religion (Peyotism) and the Native American Church,1,Americas
1303,Emar: A Hittite Vassal in Late Bronze Age Syria,1,Asia
1301,Moche (Mochica),1,Americas
1300,"Enlace de Agentes de Pastoral Indígena (EAPI, Network of Indigenous Ministry Agents)",1,Americas
1299,Russians (of Viriatino Village),1,Europe
1295,Donatism,1,Africa
