entry_id,entry_name,answer_value,world_region_simple
358,16th-17th c. Gauḍīya Vaiṣṇava Tradition,1,Asia
355,Paul the Apostle,1,Europe
354,Priests and Scholars of Hellenistic Uruk,1,Asia
338,Kwakwaka'wakw Indigenous Canadian Religion,1,Americas
337,Inca,1,Americas
310,Aztec Imperial Core,1,Americas
308,Neo-Assyrian Scholars,1,Asia
294,Xuanxue 玄學,1,Asia
284,Yolngu religion,1,Oceania-Australia
263,Irish Catholicism,1,Europe
257,Classic Zapotec,0,Americas
256,Etruscan Religion,1,Europe
255,Talismanic Religion,1,Asia
250,"Tiantai Buddhism (Song Dynasty, Liangzhe Circuit)",1,Asia
249,Tyva Republic (Animism-Totemism-Shamanism),1,Europe
245,Warring States Confucian Thought,1,Asia
244,Early Tokugawa Neo-Confucianism,1,Asia
231,Roman private religion,1,Europe
230,Religion in Mesopotamia,1,Asia
228,Late Chosŏn Korea,1,Asia
227,Hindu Goddess Worship in Northwest India—Modern Period,1,Asia
224,Old Norse Fornsed,1,Europe
222,Late Classic Lowland Maya,1,Americas
217,Roman private religion,1,Europe
212,Warring States (China) Religion,0,Asia
211,Amarna Religion,1,Africa
210,Jesus Associations and the Synoptic Gospels,1,Europe
209,Ancient Egypt,1,Africa
207,Buddhism in the Tang,1,Europe
203,Pre-imperial Chu Religion,1,Asia
202,Early Zhou Religion,1,Asia
201,Mediterranean,1,Europe
200,Nechung Cult,1,Asia
199,Mithraism,1,Europe
198,Religion in Attica (600-300BCE),1,Europe
197,Gönlung Monastery (dgon lung byams pa gling),1,Asia
196,Pauline Christianity (ca. 45-60 CE),1,Europe
195,Shakta Religion,1,Asia
193,Fijian Religion (contemporary),1,Africa
192,Fijian Religion (pre-conversion),1,Africa
191,Early Khalsa Sikhs,1,Asia
190,Sri Lankan Buddhism (1948-Present),1,Asia
189,Israelite Religion,1,Asia
186,Buddhism (Late Ming),1,Asia
185,Shinnyo-en,1,Asia
184,Chinese Buddhism (Northern Wei),1,Asia
182,Pauline Christianity,1,Europe
180,Chinese Folk Religion,0,Asia
177,Jesus movement,1,Asia
176,Qumran Movement,1,Asia
174,Matthew-James-Didache Movement,1,Asia
173,Johannine Christianity,1,Asia
