label,mean,sd,hdi_2.5%,hdi_97.5%,mean_pct,hdi_2.5%_pct,hdi_97.5%_pct,error_neg,error_pos
Africa,0.191,0.194,-0.195,0.563,54.76053636458107,45.14038914168657,63.714639783804685,9.620147222894502,8.954103419223614
Americas,-0.073,0.213,-0.494,0.338,48.175810020426184,37.89517236191711,58.37046173683925,10.280637658509072,10.19465171641307
Asia,-0.022,0.151,-0.327,0.264,49.45002218225971,41.8970747907099,56.56193249329816,7.552947391549807,7.11191031103845
Europe,0.296,0.204,-0.113,0.679,57.34643936132494,47.178002201963245,66.351547123322,10.168437159361694,9.005107761997067
Oceania-Australia,0.855,0.456,-0.031,1.744,70.16149536154008,49.22506205861951,85.11944274200296,20.93643330292057,14.957947380462883
