Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Circumcision,360,0.86,0.28,1.44,1,0.11
Dress,357,0.62,0.14,1.1,1,0.13
Extra-Ritual In-Group Markers,370,0.8,0.37,1.25,1,0.19
Food Taboos,359,0.89,0.39,1.38,1,0.18
Hair,350,0.53,-0.03,1.1,0.97,0.09
Ornaments,351,0.47,-0.12,1.06,0.94,0.08
Permanent Scarring,393,1.24,0.51,1.97,1,0.12
Tattoos/Scarification,355,0.32,-0.49,1.12,0.78,0.03
