Marker,N,beta,ci_lo,ci_hi,post_prob,AME
Permanent Scarring,393,1.17,0.38,1.98,1,0.11
Extra-Ritual In-Group Markers,366,0.7,0.19,1.22,1,0.17
Circumcision,359,0.83,0.16,1.52,0.99,0.11
Dress,355,0.58,-0.02,1.15,0.97,0.13
Food Taboos,358,0.74,0.1,1.37,0.99,0.15
Hair,348,0.57,-0.09,1.22,0.96,0.1
Ornaments,349,0.24,-0.53,0.99,0.73,0.05
Tattoos/Scarification,354,-0.01,-1.06,0.99,0.49,-0
