Marker,N,sd_world_region
Permanent Scarring,393,"0.92 [0.19, 1.99]"
Extra-Ritual In-Group Markers,370,"0.25 [0.01, 0.70]"
Circumcision,360,"0.99 [0.49, 1.80]"
Dress,357,"0.28 [0.01, 0.77]"
Food Taboos,359,"0.30 [0.02, 0.78]"
Hair,350,"0.41 [0.03, 1.04]"
Ornaments,351,"0.84 [0.25, 1.62]"
Tattoos/Scarification,355,"1.30 [0.41, 2.61]"
