marker,model,or_median,or_lo95,or_hi95,ame_median,ame_lo95,ame_hi95
circumcision,fit_base,2.5,1.3,4.03,0.13,0.05,0.21
circumcision,fit_phylo,2.23,1,4.13,0.09,0.01,0.16
circumcision,fit_phylo_repeat,2.27,0.94,4.08,0.09,0.01,0.16
circumcision,fit_phylo_year,2.11,0.87,3.95,0.08,0,0.16
dress,fit_base,1.72,1,2.64,0.11,0.02,0.21
dress,fit_phylo,1.73,0.93,2.66,0.1,0.01,0.2
dress,fit_phylo_repeat,1.71,0.94,2.71,0.1,0.01,0.19
dress,fit_phylo_year,1.95,1.07,3.14,0.12,0.02,0.22
extra_ritual_group_markers,fit_base,2.17,1.37,3.22,0.18,0.08,0.28
extra_ritual_group_markers,fit_phylo,2.17,1.25,3.26,0.17,0.07,0.27
extra_ritual_group_markers,fit_phylo_repeat,2.2,1.36,3.46,0.17,0.07,0.27
extra_ritual_group_markers,fit_phylo_year,2.28,1.32,3.57,0.18,0.07,0.28
food_taboos,fit_base,2.35,1.36,3.58,0.17,0.08,0.26
food_taboos,fit_phylo,2.23,1.23,3.56,0.14,0.05,0.23
food_taboos,fit_phylo_repeat,2.25,1.18,3.62,0.14,0.05,0.24
food_taboos,fit_phylo_year,2.39,1.26,3.96,0.15,0.05,0.25
hair,fit_base,1.52,0.8,2.42,0.07,-0.02,0.15
hair,fit_phylo,1.57,0.76,2.62,0.07,-0.02,0.16
hair,fit_phylo_repeat,1.54,0.78,2.66,0.06,-0.02,0.15
hair,fit_phylo_year,1.86,0.89,3.14,0.09,0,0.18
ornaments,fit_base,1.41,0.74,2.25,0.05,-0.03,0.13
ornaments,fit_phylo,1.43,0.72,2.39,0.05,-0.03,0.13
ornaments,fit_phylo_repeat,1.42,0.68,2.38,0.05,-0.03,0.13
ornaments,fit_phylo_year,1.57,0.75,2.73,0.06,-0.02,0.15
permanent_scarring,fit_base,3.31,1.42,6.1,0.1,0.04,0.16
permanent_scarring,fit_phylo,3.25,1.33,6.21,0.09,0.03,0.15
permanent_scarring,fit_phylo_repeat,3.27,1.34,6.25,0.09,0.03,0.15
permanent_scarring,fit_phylo_year,3.16,1.21,6.23,0.08,0.03,0.15
tattoos_scarification,fit_base,1.28,0.5,2.47,0.02,-0.03,0.08
tattoos_scarification,fit_phylo,1.26,0.48,2.51,0.02,-0.03,0.07
tattoos_scarification,fit_phylo_repeat,1.26,0.44,2.54,0.01,-0.04,0.07
tattoos_scarification,fit_phylo_year,1.39,0.44,2.78,0.02,-0.03,0.08
