Marker,N,Intercept,violent_external,year_scaled
Permanent Scarring,393,"-2.82 [-3.67, -1.88]","1.24 [0.50, 2.00]","-0.28 [-0.63, 0.07]"
Extra-Ritual In-Group Markers,370,"-0.74 [-1.09, -0.33]","0.81 [0.37, 1.24]","-0.05 [-0.27, 0.17]"
Circumcision,360,"-2.15 [-2.97, -1.35]","0.86 [0.28, 1.43]","0.03 [-0.28, 0.35]"
Dress,357,"-1.20 [-1.59, -0.79]","0.62 [0.14, 1.11]","0.08 [-0.17, 0.33]"
Food Taboos,359,"-1.40 [-1.83, -0.97]","0.89 [0.40, 1.37]","-0.10 [-0.34, 0.15]"
Hair,350,"-1.63 [-2.12, -1.13]","0.53 [0.00, 1.10]","-0.11 [-0.38, 0.17]"
Ornaments,351,"-1.59 [-2.28, -0.87]","0.47 [-0.10, 1.06]","-0.19 [-0.48, 0.11]"
Tattoos/Scarification,355,"-2.49 [-3.50, -1.38]","0.32 [-0.51, 1.16]","-0.26 [-0.67, 0.17]"
