model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,marker
fit_phylo_year,0,0,-134.22,11.74,33.1,3.89,268.43,23.47,circumcision
fit_phylo,-1.57,3.13,-135.79,11.36,29.07,3.18,271.58,22.71,circumcision
fit_phylo_repeat,-2.09,3.24,-136.3,11.36,32.01,3.37,272.6,22.73,circumcision
fit_base,-23.59,7.58,-157.81,11.33,1.9,0.18,315.62,22.65,circumcision
fit_phylo,0,0,-203.15,8.79,15.99,0.93,406.29,17.59,dress
fit_phylo_repeat,-0.04,0.84,-203.18,8.86,21.65,1.26,406.37,17.73,dress
fit_base,-2.2,2.35,-205.34,8.62,1.95,0.11,410.68,17.23,dress
fit_phylo_year,-3.56,1.82,-206.71,9.26,22.41,1.34,413.42,18.52,dress
fit_phylo_repeat,0,0,-235.89,6.34,24.85,0.9,471.78,12.68,extra_ritual_group_markers
fit_phylo,-0.4,1.13,-236.28,6.2,18.31,0.7,472.57,12.39,extra_ritual_group_markers
fit_base,-3.69,3.25,-239.58,5.65,1.91,0.06,479.15,11.31,extra_ritual_group_markers
fit_phylo_year,-4.69,2.02,-240.58,6.66,27.06,1.14,481.16,13.33,extra_ritual_group_markers
fit_phylo,0,0,-192.58,9.66,21.83,1.47,385.17,19.31,food_taboos
fit_phylo_repeat,-0.66,0.66,-193.24,9.68,25.7,1.67,386.48,19.36,food_taboos
fit_phylo_year,-4.25,1.91,-196.83,10.19,29.71,2.09,393.66,20.38,food_taboos
fit_base,-6.29,3.76,-198.87,9.09,1.93,0.11,397.74,18.18,food_taboos
fit_phylo_repeat,0,0,-164.05,10.86,28.73,2.51,328.09,21.71,hair
fit_phylo,-2.34,1.58,-166.39,10.79,17.45,1.53,332.77,21.58,hair
fit_base,-4.03,3.29,-168.08,10.75,1.88,0.16,336.16,21.51,hair
fit_phylo_year,-4.49,2.84,-168.54,11.19,23.84,2.14,337.07,22.38,hair
fit_phylo_year,0,0,-155.14,11.57,16.13,1.61,310.27,23.15,ornaments
fit_phylo,-3.35,3.52,-158.49,11.29,13.11,1.23,316.98,22.57,ornaments
fit_phylo_repeat,-3.85,3.6,-158.99,11.35,16.34,1.53,317.98,22.69,ornaments
fit_base,-4.52,4.11,-159.66,11.23,1.89,0.18,319.31,22.46,ornaments
fit_phylo_year,0,0,-105.88,12.47,14.73,2.22,211.76,24.94,permanent_scarring
fit_phylo_repeat,-2.15,2.9,-108.03,12.59,14.27,2.1,216.06,25.19,permanent_scarring
fit_base,-2.18,2.92,-108.06,12.53,1.8,0.28,216.12,25.06,permanent_scarring
fit_phylo,-2.19,2.85,-108.07,12.6,8.67,1.31,216.13,25.2,permanent_scarring
fit_phylo_year,0,0,-87,11.85,10.55,1.92,174.01,23.7,tattoos_scarification
fit_base,-4.85,2.56,-91.85,12.49,1.8,0.32,183.7,24.98,tattoos_scarification
fit_phylo,-5.29,2.23,-92.3,12.57,8.26,1.48,184.59,25.14,tattoos_scarification
fit_phylo_repeat,-5.39,2.24,-92.4,12.6,13.68,2.42,184.79,25.2,tattoos_scarification
