Marker,N,n_tips,divergences,max_rhat,min_bulk_ess,min_tail_ess
Permanent Scarring,393,100,0,1.002,5708,4971
Extra-Ritual In-Group Markers,366,94,0,1.004,4209,4432
Circumcision,359,92,0,1.004,4672,4701
Dress,355,90,0,1.008,3845,4938
Food Taboos,358,92,0,1.003,3716,2942
Hair,348,89,0,1.003,4809,5046
Ornaments,349,89,0,1.004,4341,5809
Tattoos/Scarification,354,92,0,1.003,3791,5039
