family,total_n,n_tips,mean_raw_rate,mean_estimate
IE,150,26,0.02,0.05
AA,79,18,0.051,0.083
ST,42,10,0.094,0.087
NC,26,6,0.119,0.172
An,15,13,0.399,0.361
Jap,8,1,0,0.05
Alt,6,3,0,0.083
Dra,6,2,0.167,0.11
AuA,5,2,0.2,0.3
Kor,5,1,0,0.05
OM,2,1,0.5,0.33
TK,2,1,0,0.13
Aus,1,1,1,0.47
HM,1,1,0,0.1
Iro,1,1,0,0.14
KT,1,1,0,0.1
May,1,1,1,0.48
Sio,1,1,0,0.14
UA,1,1,0,0.14
Ura,1,1,0,0.1
