marker,model,parameter,median,lo95,hi95
ornaments,fit_phylo_year,world_regionSouthAsia,0.79,-0.08,1.7
ornaments,fit_phylo_year,world_regionSoutheastAsia,1.03,0.04,2.01
ornaments,fit_phylo_year,world_regionSouthwestAsia,-0.74,-1.87,0.3
permanent_scarring,fit_base,Intercept,-2.97,-3.55,-2.43
permanent_scarring,fit_base,violent_external,1.2,0.49,1.87
permanent_scarring,fit_phylo,Intercept,-2.94,-3.64,-2.26
permanent_scarring,fit_phylo,violent_external,1.18,0.42,1.88
permanent_scarring,fit_phylo_repeat,Intercept,-3.02,-3.79,-2.33
permanent_scarring,fit_phylo_repeat,violent_external,1.18,0.48,1.93
permanent_scarring,fit_phylo_year,Intercept,-3.31,-4.18,-2.43
permanent_scarring,fit_phylo_year,violent_external,1.15,0.39,1.94
permanent_scarring,fit_phylo_year,year_scaled,-0.31,-0.69,0.06
permanent_scarring,fit_phylo_year,world_regionCentralEurasia,-0.55,-2.12,1.05
permanent_scarring,fit_phylo_year,world_regionEastAsia,0.06,-1.27,1.31
permanent_scarring,fit_phylo_year,world_regionEurope,-0.1,-1.1,0.86
permanent_scarring,fit_phylo_year,world_regionNorthAmerica,0.85,-0.27,2.06
permanent_scarring,fit_phylo_year,world_regionOceaniaMAustralia,1.59,0.01,3.12
permanent_scarring,fit_phylo_year,world_regionSouthAmerica,0.33,-1.23,1.99
permanent_scarring,fit_phylo_year,world_regionSouthAsia,0.64,-0.55,1.78
permanent_scarring,fit_phylo_year,world_regionSoutheastAsia,0.34,-0.95,1.65
permanent_scarring,fit_phylo_year,world_regionSouthwestAsia,0.61,-0.46,1.62
tattoos_scarification,fit_base,Intercept,-2.65,-3.16,-2.17
tattoos_scarification,fit_base,violent_external,0.25,-0.53,0.99
tattoos_scarification,fit_phylo,Intercept,-2.61,-3.28,-1.97
tattoos_scarification,fit_phylo,violent_external,0.23,-0.56,1
tattoos_scarification,fit_phylo_repeat,Intercept,-2.7,-3.49,-1.99
tattoos_scarification,fit_phylo_repeat,violent_external,0.23,-0.54,1.08
tattoos_scarification,fit_phylo_year,Intercept,-2.71,-3.51,-2
tattoos_scarification,fit_phylo_year,violent_external,0.33,-0.49,1.17
tattoos_scarification,fit_phylo_year,year_scaled,-0.26,-0.68,0.16
tattoos_scarification,fit_phylo_year,world_regionCentralEurasia,-0.55,-2.17,1.09
tattoos_scarification,fit_phylo_year,world_regionEastAsia,0.34,-0.81,1.44
tattoos_scarification,fit_phylo_year,world_regionEurope,-1.43,-2.72,-0.13
tattoos_scarification,fit_phylo_year,world_regionNorthAmerica,0.09,-1.21,1.34
tattoos_scarification,fit_phylo_year,world_regionOceaniaMAustralia,1.12,-0.52,2.83
tattoos_scarification,fit_phylo_year,world_regionSouthAmerica,0.52,-1.13,2.22
tattoos_scarification,fit_phylo_year,world_regionSouthAsia,0.41,-0.77,1.54
tattoos_scarification,fit_phylo_year,world_regionSoutheastAsia,1.04,-0.12,2.14
tattoos_scarification,fit_phylo_year,world_regionSouthwestAsia,-0.85,-2.17,0.42
