marker,model,parameter,rhat,ess_bulk,ess_tail
circumcision,fit_base,Intercept,1,3997.47,3393.61
circumcision,fit_base,violent_external,1,4641.47,4502.52
circumcision,fit_phylo,Intercept,1,10395.93,6501.89
circumcision,fit_phylo,violent_external,1,18210.64,5780.44
circumcision,fit_phylo_repeat,Intercept,1,6052.11,5632.49
circumcision,fit_phylo_repeat,violent_external,1,13145.24,6164.29
circumcision,fit_phylo_year,Intercept,1,7084.21,5431.98
circumcision,fit_phylo_year,violent_external,1,12172.73,5773.31
circumcision,fit_phylo_year,year_scaled,1,9672.52,5809.18
circumcision,fit_phylo_year,world_regionCentralEurasia,1,12671.85,5305.76
circumcision,fit_phylo_year,world_regionEastAsia,1,13655.88,6380.49
circumcision,fit_phylo_year,world_regionEurope,1,10535.95,6329.82
circumcision,fit_phylo_year,world_regionNorthAmerica,1,11574.22,5904.53
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,1,14074.62,5558.06
circumcision,fit_phylo_year,world_regionSouthAmerica,1,17864.6,5690.3
circumcision,fit_phylo_year,world_regionSouthAsia,1,9816.82,6010.32
circumcision,fit_phylo_year,world_regionSoutheastAsia,1,10645.83,5911.48
circumcision,fit_phylo_year,world_regionSouthwestAsia,1,10062.86,6634.25
dress,fit_base,Intercept,1,4729.51,4494.19
dress,fit_base,violent_external,1,5173.33,3972.54
dress,fit_phylo,Intercept,1,7433.06,5797.95
dress,fit_phylo,violent_external,1,14460.25,6160.88
dress,fit_phylo_repeat,Intercept,1,5302.79,4553.26
dress,fit_phylo_repeat,violent_external,1,10550.9,6116.35
dress,fit_phylo_year,Intercept,1,8273.24,5547.29
dress,fit_phylo_year,violent_external,1,13655.11,6248.62
dress,fit_phylo_year,year_scaled,1,12382.63,5897.21
dress,fit_phylo_year,world_regionCentralEurasia,1,11424.84,6152.72
dress,fit_phylo_year,world_regionEastAsia,1,11056.52,6388.1
dress,fit_phylo_year,world_regionEurope,1,10334.15,6341.31
