entry_id,entrytag_path,ids,depth
176,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968]->Ancient Hebrew[11121]->Biblical Hebrew[36477],"[1747, 1977, 3237, 4434, 5695, 7096, 8597, 9968, 11121, 36477]",10
176,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597],"[1747, 1977, 3237, 4434, 5695, 7096, 8597]",7
176,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Canaanite[8597]->Hebrewic[9968],"[1747, 1977, 3237, 4434, 5695, 7096, 8597, 9968]",8
176,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434],"[1747, 1977, 3237, 4434]",4
176,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970]->Middle-Modern Aramaic[11126]->Eastern Aramaic[12053]->Central Eastern Aramaic[12891]->North-Eastern Neo-Aramaic[13595],"[1747, 1977, 3237, 4434, 5695, 7096, 8598, 9970, 11126, 12053, 12891, 13595]",12
176,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695],"[1747, 1977, 3237, 4434, 5695]",5
176,Language[1747]->Afro-Asiatic[1977],"[1747, 1977]",2
176,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096],"[1747, 1977, 3237, 4434, 5695, 7096]",6
176,Language[1747]->Afro-Asiatic[1977]->Semitic[3237]->West Semitic[4434]->Central Semitic[5695]->Northwest Semitic[7096]->Aramaic[8598]->Imperial-Middle-Modern Aramaic[9970],"[1747, 1977, 3237, 4434, 5695, 7096, 8598, 9970]",8
177,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Koineic Greek[30702],"[1747, 1904, 2479, 4027, 5341, 29393, 30702]",7
177,Language[1747]->Indo-European[1904],"[1747, 1904]",2
177,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341],"[1747, 1904, 2479, 4027, 5341]",5
177,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393],"[1747, 1904, 2479, 4027, 5341, 29393]",6
177,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027],"[1747, 1904, 2479, 4027]",4
177,Language[1747]->Indo-European[1904]->Classical Indo-European[2479],"[1747, 1904, 2479]",3
178,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],"[1747, 1946, 3038]",3
178,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344]->Late Han Chinese[28608],"[1747, 1946, 3038, 4344, 28608]",5
178,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],"[1747, 1946, 3038, 4344]",4
178,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342],"[1747, 1946, 3038, 4342]",4
178,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Literary Chinese[5612],"[1747, 1946, 3038, 4342, 5612]",5
178,Language[1747]->Sino-Tibetan[1946],"[1747, 1946]",2
180,Language[1747]->Sino-Tibetan[1946],"[1747, 1946]",2
180,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Old Chinese[4344],"[1747, 1946, 3038, 4344]",4
180,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],"[1747, 1946, 3038]",3
182,Language[1747]->Bookkeeping[1941],"[1747, 1941]",2
182,Language[1747]->Bookkeeping[1941]->Old Turkish[2665],"[1747, 1941, 2665]",3
182,Language[1747]->Indo-European[1904],"[1747, 1904]",2
182,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393]->Ancient Greek[30700],"[1747, 1904, 2479, 4027, 5341, 29393, 30700]",7
182,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341],"[1747, 1904, 2479, 4027, 5341]",5
182,Language[1747]->Indo-European[1904]->Classical Indo-European[2479],"[1747, 1904, 2479]",3
182,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027],"[1747, 1904, 2479, 4027]",4
182,Language[1747]->Indo-European[1904]->Classical Indo-European[2479]->Graeco-Phrygian[4027]->Greek[5341]->East Greek[29393],"[1747, 1904, 2479, 4027, 5341, 29393]",6
184,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613],"[1747, 1946, 3038, 4342, 5613]",5
184,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342],"[1747, 1946, 3038, 4342]",4
184,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038]->Classical-Middle-Modern Sinitic[4342]->Middle-Modern Sinitic[5613]->Middle Chinese[7037],"[1747, 1946, 3038, 4342, 5613, 7037]",6
184,Language[1747]->Sino-Tibetan[1946],"[1747, 1946]",2
184,Language[1747]->Sino-Tibetan[1946]->Sinitic[3038],"[1747, 1946, 3038]",3
185,Language[1747]->Ainu[1840],"[1747, 1840]",2
185,Language[1747]->Japonic[1889]->Japanesic[2444],"[1747, 1889, 2444]",3
185,Language[1747]->Japonic[1889]->Japanesic[2444]->Kagoshima[3888],"[1747, 1889, 2444, 3888]",4
185,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Western Japanese[29348],"[1747, 1889, 2444, 3890, 5264, 29348]",6
185,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Kyūshū[29346]->Hōnichi[30628],"[1747, 1889, 2444, 3890, 5264, 29346, 30628]",7
185,Language[1747]->Japonic[1889]->Japanesic[2444]->Japan-Taiwan Japanese[3890]->Japanese[5264]->Western Japanese[29348]->Umpaku[30632],"[1747, 1889, 2444, 3890, 5264, 29348, 30632]",7
